"Topic Area","Topic","Progress Level","Exercise","Technical Terms"
"Zahlen und Operationen","Zahlen ordnen","D","Explain ordering negative numbers","1. Negative numbers
2. Number line
3. Absolute value
4. Comparison
5. Inequality
6. Position
7. Value
8. Sequence
9. Ordering
10. Magnitude"
"Zahlen und Operationen","Zahlen ordnen","E","Arrange decimals/fractions/percents","1. Decimal
2. Fraction
3. Percent
4. Numerator
5. Denominator
6. Equivalent
7. Conversion
8. Ordering
9. Ascending
10. Descending
11. Place value
12. Mixed number
13. Improper fraction
14. Common denominator
15. Simplification"
"Zahlen und Operationen","Zahlen ordnen","E","Choose rounding strategies for money","1. Rounding
2. Decimal places
3. Significant figures
4. Rounding up
5. Rounding down
6. Bankers' rounding
7. Round half up
8. Round half down
9. Precision
10. Currency conversion
11. Fractional amounts
12. Estimation
13. Truncation
14. Nearest whole number
15. Excessive rounding"
"Zahlen und Operationen","Zahlen ordnen","F","Order rational/irrational numbers","1. Rational numbers  
2. Irrational numbers  
3. Real numbers  
4. Numerical order  
5. Number line  
6. Absolute value  
7. Approximation  
8. Decimal representation  
9. Square root  
10. Ordering principles"
"Zahlen und Operationen","Zahlen ordnen","F","Discuss rounding errors (financial)","1. Rounding
2. Precision
3. Significant Figures
4. Decimal Places
5. Truncation
6. Accumulation Errors
7. Floating Point Arithmetic
8. Conversion Rate
9. Loss of Significance
10. IEEE 754 Standards
11. Arithmetic Operations
12. Financial Modelling
13. Compound Interest
14. Currency Conversion
15. Error Propagation"
"Zahlen und Operationen","Zahlen ordnen","G","Compare expressions for x-values","1. Variables
2. Expressions
3. Equations
4. Inequalities
5. Coefficients
6. Constants
7. Terms
8. Polynomial
9. Simplification
10. Factoring
11. Roots
12. Solutions
13. Substitution
14. Functions
15. Graphing"
"Zahlen und Operationen","Zahlen ordnen","G","Use inequalities x<y<z in relationships","1. Inequality  
2. Variable  
3. Relation  
4. Transitive property  
5. Ordered pairs  
6. Range  
7. Domain  
8. Solution set  
9. Interval notation  
10. Boundary points"
"Zahlen und Operationen","Zahlen ordnen","H","Discuss ordering complex numbers","1. Complex numbers  
2. Real part  
3. Imaginary part  
4. Modulus  
5. Argument  
6. Polar form  
7. Rectangular form  
8. Comparison  
9. Norm  
10. Argument principle  
11. Quadrant  
12. Complex plane  
13. Lexicographic order  
14. Ordered field  
15. Inequality"
"Zahlen und Operationen","Zahlen ordnen","H","Examine modular arithmetic ordering","1. Modular arithmetic
2. Congruence
3. Modulus
4. Residue class
5. Integer
6. Order
7. Divisor
8. Equivalence relation
9. Coprime
10. Least non-negative residue
11. Complete residue system
12. Group
13. Cyclic group
14. Ring
15. Multiplicative order"
"Zahlen und Operationen","Operationen verstehen und ausführen","B","Add two-digit numbers mentally","1. Mental math  
2. Two-digit numbers  
3. Place value  
4. Addition  
5. Carrying  
6. Number line  
7. Base ten  
8. Sum  
9. Tens place  
10. Ones place"
"Zahlen und Operationen","Operationen verstehen und ausführen","B","Subtract 42 – 17 and explain","1. Subtraction  
2. Minuend  
3. Subtrahend  
4. Difference  
5. Numerical value  
6. Arithmetic operation"
"Zahlen und Operationen","Operationen verstehen und ausführen","C","Multiply 2-digit by 1-digit (distributive)","1. Distributive property  
2. Multiplication  
3. Two-digit number  
4. One-digit number  
5. Partial products  
6. Expanded form  
7. Addition  
8. Place value  
9. Algorithm  
10. Multiply-out"
"Zahlen und Operationen","Operationen verstehen und ausführen","C","Divide 3-digit by 1-digit with remainder","1. Dividend  
2. Divisor  
3. Quotient  
4. Remainder  
5. Division  
6. Place value  
7. Long division  
8. Whole number  
9. Integer  
10. Algorithm"
"Zahlen und Operationen","Operationen verstehen und ausführen","D","Use standard algorithm for 234×12","1. Multiplication
2. Standard algorithm
3. Partial products
4. Carry
5. Place value
6. Algorithmic steps
7. Addition
8. Digits
9. Column alignment
10. Result"
"Zahlen und Operationen","Operationen verstehen und ausführen","D","Long division with decimals (75.6 ÷ 3.2)","1. Long Division  
2. Dividend  
3. Divisor  
4. Quotient  
5. Decimal Points  
6. Decimal Places  
7. Dividing Decimals  
8. Rounding  
9. Multiplying Decimals  
10. Repeating Decimals"
"Zahlen und Operationen","Operationen verstehen und ausführen","E","Use commutative/associative laws","- Commutative Law
- Associative Law
- Addition
- Multiplication
- Expression
- Terms
- Operations
- Rearrangement
- Grouping"
"Zahlen und Operationen","Operationen verstehen und ausführen","E","Solve real-life percentage problems","1. Percentage
2. Base
3. Amount
4. Increase
5. Decrease
6. Fraction
7. Decimal
8. Ratio
9. Proportion
10. Markup
11. Markdown
12. Tax
13. Discount
14. Commission
15. Interest"
"Zahlen und Operationen","Operationen verstehen und ausführen","F","Operate with rational numbers","1. Rational numbers  
2. Numerator  
3. Denominator  
4. Fraction  
5. Simplifying  
6. Equivalent fractions  
7. Addition  
8. Subtraction  
9. Multiplication  
10. Division  
11. Mixed numbers  
12. Improper fractions  
13. Least common denominator (LCD)  
14. Common denominator  
15. Reciprocal  
16. Absolute value  
17. Number line  
18. Decimal representation  
19. Percentages  
20. Preliminary operations"
"Zahlen und Operationen","Operationen verstehen und ausführen","F","Find GCD/LCM via prime factorization","- GCD (Greatest Common Divisor)
- LCM (Least Common Multiple)
- Prime factorization
- Prime numbers
- Factors
- Multiples
- Exponents
- Common factors
- Unique factors
- Product of factors"
"Zahlen und Operationen","Operationen verstehen und ausführen","G","Apply exponent rules","1. Base  
2. Exponent  
3. Power  
4. Product Rule  
5. Quotient Rule  
6. Power of a Power Rule  
7. Power of a Product Rule  
8. Power of a Quotient Rule  
9. Zero Exponent Rule  
10. Negative Exponent Rule  
11. Reciprocal  
12. Simplification  
13. Like Bases  
14. Equivalent Expressions  
15. Identity Property"
"Zahlen und Operationen","Operationen verstehen und ausführen","G","Simplify expressions with negative exponents","1. Exponent
2. Negative exponent
3. Base
4. Power
5. Reciprocal
6. Simplification
7. Expression
8. Algebraic manipulation
9. Properties of exponents
10. Fractional form"
"Zahlen und Operationen","Operationen verstehen und ausführen","H","Operate with polynomials (factor, expand)","1. Polynomial
2. Degree
3. Coefficient
4. Term
5. Monomial
6. Binomial
7. Trinomial
8. Like terms
9. Factoring
10. Expanding
11. Roots
12. Zeroes
13. Common factors
14. Distributive property
15. Grouping
16. Quadratic formula
17. Synthetic division
18. Long division (of polynomials)
19. Foil method
20. Leading coefficient"
"Zahlen und Operationen","Operationen verstehen und ausführen","H","Handle surds/advanced symbolic forms","1. Surd  
2. Radical  
3. Square root  
4. Rationalization  
5. Irrational numbers  
6. Exponentiation  
7. Simplification  
8. Like terms  
9. Conjugate  
10. Expression  
11. Polynomial  
12. Factorization  
13. Binomial  
14. Denominator  
15. Numerator  
16. Absolute value  
17. Domain  
18. Range  
19. Algebraic identity  
20. Quadratic equation"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","B","Identify odd/even to 100","1. Odd numbers  
2. Even numbers  
3. Integers  
4. Number line  
5. Divisibility  
6. Remainder  
7. Modulus  
8. Sequence  
9. Counting  
10. Pattern"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","B","Find multiples of 2, 5, 10","1. Multiple  
2. Factor  
3. Integer  
4. Divisibility  
5. Set  
6. Sequence  
7. Arithmetic progression  
8. Least common multiple (LCM)"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","C","Place fractions (1/2, 1/4) on a line","- Fraction
- Number line
- Numerator
- Denominator
- Equivalent fractions
- Placement
- Interval
- Whole number
- Value
- Ratio"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","C","Convert 1/2, 3/4 to decimals","1. Fraction  
2. Decimal  
3. Numerator  
4. Denominator  
5. Division  
6. Place value  
7. Tenths  
8. Hundredths  
9. Rounding  
10. Equivalent fractions"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","D","Use negative integers (temperature)","1. Negative integers  
2. Temperature  
3. Celsius  
4. Fahrenheit  
5. Absolute zero  
6. Kelvin  
7. Thermometer  
8. Scale  
9. Conversion  
10. Freezing point  
11. Boiling point  
12. Measurement  
13. Value  
14. Scale downward  
15. Temperature range"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","D","Add/subtract fractions (unlike denominators)","1. Fraction  
2. Numerator  
3. Denominator  
4. Unlike denominators  
5. Common denominator  
6. Equivalent fractions  
7. Least common multiple (LCM)  
8. Addition of fractions  
9. Subtraction of fractions  
10. Simplifying fractions  
11. Improper fractions  
12. Mixed numbers"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","E","Apply percent calculations","1. Percentage
2. Base
3. Rate
4. Proportion
5. Increase
6. Decrease
7. Decimal
8. Fraction
9. Ratio
10. Tax
11. Discount
12. Markup
13. Commission
14. Interest
15. Total amount"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","E","Convert fraction/decimal/percent in word problems","1. Fraction  
2. Decimal  
3. Percent  
4. Numerator  
5. Denominator  
6. Equivalent  
7. Conversion  
8. Simplification  
9. Ratio  
10. Proportion  
11. Whole number  
12. Percentage increase/decrease  
13. Mixed number  
14. Improper fraction  
15. Common denominator"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","F","Add/subtract rational expressions","1. Rational expressions
2. Common denominator
3. Like terms
4. Simplifying
5. Numerator
6. Denominator
7. Factorization
8. Least common multiple (LCM)
9. Polynomial
10. Equivalent fractions"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","F","Convert repeating decimals to fractions","1. Repeating decimal  
2. Non-repeating part  
3. Fraction  
4. Numerator  
5. Denominator  
6. Place value  
7. Algebraic representation  
8. Infinite series  
9. Common denominator  
10. Simplification"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","G","Distinguish rational vs. irrational","1. Rational number  
2. Irrational number  
3. Integer  
4. Whole number  
5. Fraction  
6. Decimal  
7. Repeating decimal  
8. Non-repeating decimal  
9. Square root  
10. Real number"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","G","Approximate √2 or π to given precision","1. Approximation
2. Precision
3. Convergence
4. Numerical methods
5. Iteration
6. Tolerance
7. Decimal representation
8. Error analysis
9. Algorithms
10. Function evaluation"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","H","Explore complex numbers overview","1. Complex Number  
2. Real Part  
3. Imaginary Part  
4. Imaginary Unit (i)  
5. Complex Plane  
6. Norm (Magnitude)  
7. Argument (Angle)  
8. Polar Form  
9. Euler's Formula  
10. Cartesian Form  
11. Conjugate  
12. Addition  
13. Subtraction  
14. Multiplication  
15. Division  
16. Modulus  
17. Argument Principle  
18. Roots of Unity  
19. Complex Functions  
20. Analyticity"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","H","Extend to advanced sets (complex plane)","1. Complex Plane
2. Complex Numbers
3. Real Part
4. Imaginary Part
5. Set Theory
6. Functions
7. Domain
8. Range
9. Limit
10. Continuity
11. Derivative
12. Analytic Functions
13. Singularities
14. Residue
15. Integration
16. Contour Integration
17. Cauchy-Riemann Equations
18. Holomorphic Functions
19. Mapping
20. Riemann Surfaces"
"Zahlen und Operationen","Rechenstrategien anwenden","B","Mentally add/subtract single-digit to 2-digit","1. Single-digit numbers  
2. Two-digit numbers  
3. Addition  
4. Subtraction  
5. Place value  
6. Carrying  
7. Borrowing  
8. Mental math  
9. Number line  
10. Basic arithmetic"
"Zahlen und Operationen","Rechenstrategien anwenden","B","Explain adding 9 to a number","1. Addition
2. Number
3. Integer
4. Operand
5. Operation
6. Result
7. Equation
8. Sum
9. Value"
"Zahlen und Operationen","Rechenstrategien anwenden","C","Check subtraction by adding","1. Subtraction  
2. Addition  
3. Inverse operations  
4. Equation  
5. Terms  
6. Balance  
7. Identity  
8. Check  
9. Verification  
10. Arithmetic"
"Zahlen und Operationen","Rechenstrategien anwenden","C","Use doubling/halving to simplify multiplication","1. Doubling
2. Halving
3. Multiplication
4. Factor
5. Product
6. Distributive property
7. Equivalence
8. Simplification
9. Integer
10. Even number
11. Odd number"
"Zahlen und Operationen","Rechenstrategien anwenden","D","Estimate 398×52, then verify","1. Estimation
2. Multiplication
3. Rounding
4. Approximation
5. Verification
6. Product
7. Calculation"
"Zahlen und Operationen","Rechenstrategien anwenden","D","Combine mental math & written methods","1. Mental Math  
2. Written Methods  
3. Addition  
4. Subtraction  
5. Multiplication  
6. Division  
7. Estimation  
8. Place Value  
9. Regrouping  
10. Algorithm  
11. Fractions  
12. Decimals  
13. Order of Operations  
14. Factors  
15. Multiples"
"Zahlen und Operationen","Rechenstrategien anwenden","E","Solve multi-step word problems (percents)","1. Percent
2. Ratio
3. Proportion
4. Base
5. Rate
6. Increase
7. Decrease
8. Total
9. Part
10. Fraction
11. Decimal
12. Equation
13. Variable
14. Solution
15. Estimate"
"Zahlen und Operationen","Rechenstrategien anwenden","E","Compare mental vs. written vs. calculator","1. Cognitive Load  
2. Working Memory  
3. Algorithm  
4. Accuracy  
5. Efficiency  
6. Error Rate  
7. Problem Solving  
8. Mental Calculation  
9. Computational Thinking  
10. Representation  
11. Number Sense  
12. Process Automation  
13. Estimation  
14. Verification  
15. Contextual Understanding"
"Zahlen und Operationen","Rechenstrategien anwenden","F","Use factorization for large calculations","1. Factorization  
2. Prime numbers  
3. Composite numbers  
4. Greatest common divisor (GCD)  
5. Least common multiple (LCM)  
6. Polynomial factorization  
7. Quadratic equations  
8. Roots (or zeros)  
9. Exponents  
10. Multiplicity  
11. Binomial theorem  
12. Synthetic division  
13. Rational expressions  
14. Polynomial long division  
15. Algebraic identities"
"Zahlen und Operationen","Rechenstrategien anwenden","F","Explain error-checking with decimals/fractions","1. Error-checking  
2. Decimals  
3. Fractions  
4. Precision  
5. Accuracy  
6. Rounding  
7. Significant figures  
8. Estimation  
9. Misalignment  
10. Redundancy  
11. Cross-verification  
12. Data integrity  
13. Variability  
14. Tolerance  
15. Ratio"
"Zahlen und Operationen","Rechenstrategien anwenden","G","Approximate solutions (Newton’s method)","1. Newton's Method  
2. Root Finding  
3. Iteration  
4. Convergence  
5. Derivative  
6. Function Evaluation  
7. Initial Guess  
8. Tolerance  
9. Error  
10. Fixed Point  
11. Secant Method  
12. Jacobian Matrix  
13. Update Formula  
14. Numerical Methods  
15. Continuity"
"Zahlen und Operationen","Rechenstrategien anwenden","G","Analyze efficiency of multiple strategies","1. Algorithm
2. Time Complexity
3. Space Complexity
4. Big O Notation
5. Asymptotic Analysis
6. Data Structures
7. Performance Metrics
8. Worst-case Scenario
9. Average-case Scenario
10. Best-case Scenario
11. Optimization
12. Heuristic
13. Trade-off
14. Scalability
15. Benchmarking
16. Empirical Analysis
17. Resource Allocation
18. Bottleneck
19. Profiling
20. Simulation"
"Zahlen und Operationen","Rechenstrategien anwenden","H","Generalize symbolic manipulation strategies","1. Symbolic Manipulation
2. Algebraic Expressions
3. Variables
4. Functions
5. Operators
6. Equations
7. Transformation Rules
8. Simplification
9. Substitution
10. Polynomial
11. Factorization
12. Differentiation
13. Integration
14. Recursive Functions
15. Abstract Algebra
16. Data Structures
17. Algorithms
18. Computational Complexity
19. Symbolic Algorithms
20. Heuristic Methods"
"Zahlen und Operationen","Rechenstrategien anwenden","H","Compare mental, symbolic, tech approaches","1. Mental Models  
2. Symbolic Representation  
3. Technological Frameworks  
4. Cognitive Processes  
5. Abstraction  
6. Analogical Reasoning  
7. Computational Thinking  
8. Information Processing  
9. Data Structures  
10. Algorithmic Thinking  
11. Mapping  
12. Interaction Design  
13. System Dynamics  
14. User Interfaces  
15. Conceptual Frameworks  
16. Paradigm Shift  
17. Heuristics  
18. Semantic Memory  
19. Model Representation  
20. Knowledge Representation"
"Raum und Form","Raumorientierung und Lagebeziehungen","B","Identify left/right in classroom","1. Orientation
2. Spatial awareness
3. Directional cues
4. Reference frame
5. Lateralization
6. Positioning
7. Symmetry
8. Visual perception
9. Cognitive mapping
10. Coordinate system"
"Raum und Form","Raumorientierung und Lagebeziehungen","B","Follow directions on a simple grid","1. Grid
2. Coordinates
3. Axes
4. Origin
5. Direction
6. Path
7. Movement
8. Steps
9. Position
10. Navigation"
"Raum und Form","Raumorientierung und Lagebeziehungen","C","Plot integer points on a grid","- Integer points
- Grid
- Coordinates
- Cartesian plane
- Axes
- Plotting
- Origin
- Quadrants
- Domain
- Range"
"Raum und Form","Raumorientierung und Lagebeziehungen","C","Describe point locations as (x,y)","1. Coordinates  
2. Cartesian Plane  
3. Quadrants  
4. Origin  
5. Abscissa  
6. Ordinate  
7. Distance Formula  
8. Midpoint  
9. Slope  
10. Graphing"
"Raum und Form","Raumorientierung und Lagebeziehungen","D","Use scale/compass directions on a map","1. Scale
2. Compass Rose
3. Cardinal Directions
4. Intermediate Directions
5. Bearings
6. Map Legend
7. Orientation
8. Latitude
9. Longitude
10. Topography 
11. Contours
12. Directional Symbols
13. Azimuth
14. GPS (Global Positioning System)
15. Projection"
"Raum und Form","Raumorientierung und Lagebeziehungen","D","Place negative coordinates in four quadrants","1. Cartesian Coordinate System
2. Quadrants
3. Origin
4. X-Axis
5. Y-Axis
6. Coordinates
7. Signed Numbers
8. Graphing
9. Positive Coordinates
10. Negative Coordinates"
"Raum und Form","Raumorientierung und Lagebeziehungen","E","Translate real-world paths into coordinates","1. Coordinate System  
2. Cartesian Coordinates  
3. Polar Coordinates  
4. GPS (Global Positioning System)  
5. Waypoints  
6. Vector  
7. Mapping  
8. Geolocation  
9. Interpolation  
10. Projection  
11. Geospatial Data  
12. Distances  
13. Bearings  
14. Triangulation  
15. Pathfinding  
16. Degrees of Freedom  
17. Resolution  
18. Scale  
19. Terrain Mapping  
20. Data Transformation"
"Raum und Form","Raumorientierung und Lagebeziehungen","E","Identify geometry transformations on a plan","1. Transformation
2. Geometry
3. Translation
4. Rotation
5. Reflection
6. Dilation
7. Coordinate plane
8. Congruence
9. Similarity
10. Vector
11. Matrix
12. Input/Output
13. Symmetry
14. Axis of reflection
15. Center of rotation
16. Scaling
17. Element of transformation
18. Pre-image
19. Image
20. Composition of transformations"
"Raum und Form","Raumorientierung und Lagebeziehungen","F","Use vectors for positions/movements","1. Vector
2. Position vector
3. Displacement
4. Magnitude
5. Direction
6. Unit vector
7. Component
8. Dot product
9. Cross product
10. Addition of vectors
11. Scalar multiplication
12. Linear combination
13. Basis vector
14. Coordinate system
15. Origin
16. Parallelogram law
17. Angle between vectors
18. Projection
19. Orthogonal
20. Resultant vector"
"Raum und Form","Raumorientierung und Lagebeziehungen","F","Solve distance/midpoint problems","1. Distance Formula  
2. Midpoint Formula  
3. Coordinate Plane  
4. Coordinates  
5. Quadratic Formula  
6. Pythagorean Theorem  
7. Graphing  
8. Linear Equations  
9. Cartesian Coordinates  
10. Euclidean Distance"
"Raum und Form","Raumorientierung und Lagebeziehungen","G","Apply matrices for transformations","1. Matrix
2. Transformation
3. Linear transformation
4. Homogeneous coordinates
5. Affine transformation
6. Determinant
7. Eigenvalues
8. Eigenvectors
9. Inverse matrix
10. Composition of transformations
11. Scaling
12. Rotation
13. Translation
14. Shear
15. Reflection
16. 2D transformation
17. 3D transformation
18. Matrix multiplication
19. Identity matrix
20. Row echelon form"
"Raum und Form","Raumorientierung und Lagebeziehungen","G","Describe 3D coordinates or cross-sections","1. Cartesian coordinates  
2. Axes  
3. Origin  
4. 3D space  
5. Vectors  
6. Points  
7. Scalars  
8. Cross-section  
9. Projection  
10. Plane  
11. Distance  
12. Volume  
13. Surface  
14. Intersection  
15. Transformation  
16. Orientation  
17. Polygon  
18. Mesh  
19. Visualization  
20. Coordinate system"
"Raum und Form","Raumorientierung und Lagebeziehungen","H","Advanced vector/matrix in spatial tasks","1. Vectors  
2. Matrices  
3. Dot product  
4. Cross product  
5. Magnitude  
6. Direction  
7. Orthogonal  
8. Basis  
9. Transformation  
10. Homogeneous coordinates  
11. Eigenvalues  
12. Eigenvectors  
13. Linear combination  
14. Linear transformation  
15. Affine transformation  
16. Coordinate systems  
17. Projection  
18. Scaling  
19. Rotation  
20. Translation  
21. Norm  
22. Dimensionality  
23. Singular Value Decomposition (SVD)  
24. Principal Component Analysis (PCA)  
25. Tensor"
"Raum und Form","Raumorientierung und Lagebeziehungen","H","Examine transformations in higher dimensions","1. Vector space  
2. Linear transformation  
3. Matrix representation  
4. Eigenvalues  
5. Eigenvectors  
6. Basis  
7. Dimension  
8. Homogeneous coordinate  
9. Affine transformation  
10. Multilinear algebra  
11. Inner product  
12. Orthogonality  
13. Projection  
14. Rotation  
15. Scaling  
16. Shearing  
17. Transformation matrix  
18. Composition of transformations  
19. Determinant  
20. Isometry"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","B","Identify basic shapes (circle, square)","1. Shape  
2. Circle  
3. Square  
4. Polygon  
5. Radius  
6. Diameter  
7. Area  
8. Perimeter  
9. Euclidean geometry  
10. Symmetry  
11. Angles  
12. Vertices  
13. Edges  
14. Congruence  
15. Transformation"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","B","Sort real objects (cube vs. prism)","1. Geometric Shapes  
2. Volume  
3. Surface Area  
4. Dimensions  
5. Orientation  
6. Symmetry  
7. Edge  
8. Vertex  
9. Face  
10. Polygon  
11. Rectangular Prism  
12. Cube  
13. Classification  
14. Properties  
15. 3D Modeling"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","C","Classify polygons by sides/angles","1. Polygon  
2. Vertex  
3. Side  
4. Angle  
5. Regular polygon  
6. Irregular polygon  
7. Convex polygon  
8. Concave polygon  
9. Triangles  
10. Quadrilaterals  
11. Pentagon  
12. Hexagon  
13. Heptagon  
14. Octagon  
15. Dodecagon  
16. Acute triangle  
17. Right triangle  
18. Obtuse triangle  
19. Equilateral triangle  
20. Isosceles triangle  
21. Scalene triangle  
22. Parallel sides  
23. Symmetry  
24. Interior angle  
25. Exterior angle  
26. Sum of angles  
27. Classified polygons  
28. Congruence  
29. Similarity  
30. Regularity"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","C","Compare shapes by parallel sides or right angles","1. Parallels
2. Right angles
3. Shapes
4. Geometric properties
5. Congruence
6. Similarity
7. Symmetry
8. Polygon
9. Quadrilaterals
10. Angles
11. Classification
12. Coordinate geometry
13. Transformation
14. Diagonal
15. Perpendicular"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","D","Name 3D solids & identify nets","1. Polyhedron  
2. Face  
3. Edge  
4. Vertex  
5. Net  
6. Prism  
7. Pyramid  
8. Cube  
9. Tetrahedron  
10. Surface area"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","D","Explore angle sums in polygons","1. Polygon  
2. Angle  
3. Interior angle  
4. Exterior angle  
5. Vertex  
6. Triangle  
7. Quadrilateral  
8. Regular polygon  
9. Vertex angle  
10. Angle sum formula  
11. Convex polygon  
12. Concave polygon  
13. Diagonal  
14. Sides  
15. n-sided polygon (n-gon)  
16. Sum of interior angles  
17. Sum of exterior angles"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","E","Analyze circle properties (radius, diameter)","- Circle
- Radius
- Diameter
- Circumference
- Area
- Pi (π)
- Chord
- Arc
- Sector
- Segment
- Center
- Tangent
- Secant
- Inscribed angle
- Central angle"
