exercise,language_1,language_2,language_3,Total_Difference
exercise_320,2.0,2.0,2.0,0.0
exercise_321,2.0,2.0,2.0,0.0
exercise_322,2.0,2.0,2.0,0.0
exercise_34,2.0,2.0,2.0,0.0
exercise_35,2.0,2.0,2.0,0.0
exercise_36,2.0,2.0,2.0,0.0
exercise_37,2.0,2.0,2.0,0.0
exercise_39,2.0,2.0,2.0,0.0
exercise_4,2.0,2.0,2.0,0.0
exercise_40,2.0,2.0,2.0,0.0
exercise_41,2.0,2.0,2.0,0.0
exercise_43,2.0,2.0,2.0,0.0
exercise_44,2.0,2.0,2.0,0.0
exercise_45,2.0,2.0,2.0,0.0
exercise_46,2.0,2.0,2.0,0.0
exercise_47,2.0,2.0,2.0,0.0
exercise_48,2.0,2.0,2.0,0.0
exercise_5,2.0,2.0,2.0,0.0
exercise_50,2.0,2.0,2.0,0.0
exercise_51,2.0,2.0,2.0,0.0
exercise_52,2.0,2.0,2.0,0.0
exercise_53,2.0,2.0,2.0,0.0
exercise_55,2.0,2.0,2.0,0.0
exercise_56,2.0,2.0,2.0,0.0
exercise_60,2.0,2.0,2.0,0.0
exercise_61,2.0,2.0,2.0,0.0
exercise_62,2.0,2.0,2.0,0.0
exercise_63,2.0,2.0,2.0,0.0
exercise_64,2.0,2.0,2.0,0.0
exercise_65,2.0,2.0,2.0,0.0
exercise_66,2.0,2.0,2.0,0.0
exercise_67,2.0,2.0,2.0,0.0
exercise_114,2.0,2.0,2.0,0.0
exercise_115,2.0,2.0,2.0,0.0
exercise_117,2.0,2.0,2.0,0.0
exercise_118,2.0,2.0,2.0,0.0
exercise_119,2.0,2.0,2.0,0.0
exercise_12,2.0,2.0,2.0,0.0
exercise_120,2.0,2.0,2.0,0.0
exercise_121,2.0,2.0,2.0,0.0
exercise_122,2.0,2.0,2.0,0.0
exercise_124,2.0,2.0,2.0,0.0
exercise_125,2.0,2.0,2.0,0.0
exercise_126,2.0,2.0,2.0,0.0
exercise_127,2.0,2.0,2.0,0.0
exercise_128,2.0,2.0,2.0,0.0
exercise_7,2.0,2.0,2.0,0.0
exercise_70,2.0,2.0,2.0,0.0
exercise_71,2.0,2.0,2.0,0.0
exercise_72,2.0,2.0,2.0,0.0
exercise_73,2.0,2.0,2.0,0.0
exercise_74,2.0,2.0,2.0,0.0
exercise_75,2.0,2.0,2.0,0.0
exercise_76,2.0,2.0,2.0,0.0
exercise_77,2.0,2.0,2.0,0.0
exercise_79,2.0,2.0,2.0,0.0
exercise_8,2.0,2.0,2.0,0.0
exercise_80,2.0,2.0,2.0,0.0
exercise_81,2.0,2.0,2.0,0.0
exercise_82,2.0,2.0,2.0,0.0
exercise_99,2.0,2.0,2.0,0.0
