"Topic Area","Topic","Progress Level","Exercise","Technical Terms"
"Zahlen und Operationen","Zahlen ordnen","E","Arrange decimals/fractions/percents","1. Decimal  
2. Fraction  
3. Percent  
4. Decimal place  
5. Common denominator  
6. Equivalent fractions  
7. Comparison  
8. Conversion  
9. Simplification  
10. Ordering"
"Zahlen und Operationen","Zahlen ordnen","E","Choose rounding strategies for money","1. Rounding
2. Rounding up
3. Rounding down
4. Nearest whole number
5. Bankers rounding
6. Decimal places
7. Significant figures
8. Currency conversion
9. Truncation
10. Precision
11. Approximation
12. Percentage
13. Financial forecasting
14. Error margin
15. Rounding rules"
"Zahlen und Operationen","Zahlen ordnen","F","Order rational/irrational numbers","1. Rational numbers  
2. Irrational numbers  
3. Number line  
4. Ordering  
5. Comparison  
6. Decimal representation  
7. Fraction  
8. Infinite decimal  
9. Approximation  
10. Real numbers"
"Zahlen und Operationen","Zahlen ordnen","F","Discuss rounding errors (financial)","1. Rounding
2. Precision
3. Significant Figures
4. Floating Point Arithmetic
5. Truncation
6. Accumulation of Errors
7. Decimal Representation
8. Bias
9. Overflow
10. Underflow
11. Significant Digits
12. Round Half Up
13. Round Half Down
14. Financial Modeling
15. Error Analysis"
"Zahlen und Operationen","Zahlen ordnen","G","Compare expressions for x-values","- Expressions
- Variables
- Equations
- Solutions
- Comparison
- Inequalities
- Function
- Domain
- Range
- Substitution
- Simplification
- Graphing
- Roots
- Zeroes
- Coefficients
- Terms
- Constants
- Algebraic manipulation"
"Zahlen und Operationen","Zahlen ordnen","G","Use inequalities x<y<z in relationships","1. Inequality
2. Variable
3. Real numbers
4. Transitive property
5. Order relation
6. Interval
7. Boundary values
8. Solution set
9. Strict inequality
10. Comparative analysis"
"Zahlen und Operationen","Zahlen ordnen","H","Discuss ordering complex numbers","1. Complex numbers  
2. Real part  
3. Imaginary part  
4. Magnitude (or modulus)  
5. Argument (or angle)  
6. Polar form  
7. Rectangular form  
8. Comparison  
9. Lexicographic order  
10. Algebraic structure  
11. Axiomatic definition  
12. Field properties  
13. Order relations  
14. Inequalities  
15. Visualization (in the complex plane)  
16. Cartesian coordinate system  
17. Conjugate  
18. Graphical representation  
19. Euclidean space"
"Zahlen und Operationen","Zahlen ordnen","H","Examine modular arithmetic ordering","1. Modular arithmetic  
2. Congruence  
3. Modulus  
4. Residue classes  
5. Integer division  
6. Remainder  
7. Adding modulo  
8. Multiplying modulo  
9. Order  
10. Divisibility  
11. Cyclic groups  
12. Euler's theorem  
13. Greatest common divisor (GCD)  
14. Least common multiple (LCM)  
15. Inverses modulo  
16. Ring  
17. Field  
18. Homomorphism  
19. Isomorphism  
20. Group theory"
"Zahlen und Operationen","Operationen verstehen und ausführen","B","Add two-digit numbers mentally","1. Place Value  
2. Tens  
3. Units  
4. Carrying  
5. Addition  
6. Mental Math  
7. Number Line  
8. Commutative Property  
9. Associative Property  
10. Estimation"
"Zahlen und Operationen","Operationen verstehen und ausführen","B","Subtract 42 – 17 and explain","1. Subtraction
2. Minuend
3. Subtrahend
4. Difference
5. Numeric Values
6. Operations
7. Whole Numbers"
"Zahlen und Operationen","Operationen verstehen und ausführen","C","Multiply 2-digit by 1-digit (distributive)","1. Multiplication  
2. Distributive Property  
3. Two-digit number  
4. One-digit number  
5. Partial products  
6. Expanded form  
7. Place value  
8. Addition  
9. Regrouping  
10. Operand"
"Zahlen und Operationen","Operationen verstehen und ausführen","C","Divide 3-digit by 1-digit with remainder","1. Division  
2. Dividend  
3. Divisor  
4. Quotient  
5. Remainder  
6. Three-digit number  
7. One-digit number  
8. Long division  
9. Algorithm  
10. Place value"
"Zahlen und Operationen","Operationen verstehen und ausführen","D","Use standard algorithm for 234×12","1. Multiplication
2. Standard algorithm
3. Partial products
4. Carrying
5. Place value
6. Distributive property
7. Integer
8. Digit
9. Column addition
10. Whole number"
"Zahlen und Operationen","Operationen verstehen und ausführen","D","Long division with decimals (75.6 ÷ 3.2)","1. Dividend  
2. Divisor  
3. Quotient  
4. Decimal point  
5. Long division  
6. Place value  
7. Rounding  
8. Division algorithm  
9. Repeating decimal  
10. Carrying over"
"Zahlen und Operationen","Operationen verstehen und ausführen","E","Use commutative/associative laws","1. Commutative Law  
2. Associative Law  
3. Addition  
4. Multiplication  
5. Variables  
6. Expressions  
7. Equivalence  
8. Terms  
9. Operations  
10. Identity Element"
"Zahlen und Operationen","Operationen verstehen und ausführen","E","Solve real-life percentage problems","1. Percentage  
2. Fraction  
3. Decimal  
4. Proportion  
5. Ratio  
6. Base  
7. Part  
8. Whole  
9. Increase  
10. Decrease  
11. Discount  
12. Markup  
13. Conversion  
14. Equivalent  
15. Calculation"
"Zahlen und Operationen","Operationen verstehen und ausführen","F","Operate with rational numbers","1. Rational numbers  
2. Numerator  
3. Denominator  
4. Simplification  
5. Equivalent fractions  
6. Addition  
7. Subtraction  
8. Multiplication  
9. Division  
10. Common denominator  
11. Mixed numbers  
12. Improper fractions  
13. Absolute value  
14. Conversion  
15. Comparing fractions  
16. Order of operations  
17. Inverse operations  
18. Partial fractions"
"Zahlen und Operationen","Operationen verstehen und ausführen","F","Find GCD/LCM via prime factorization","1. GCD (Greatest Common Divisor)  
2. LCM (Least Common Multiple)  
3. Prime Factorization  
4. Prime Numbers  
5. Multiplicity  
6. Exponents  
7. Common Factors  
8. Unique Factorization Theorem  
9. Divisibility  
10. Factor Tree"
"Zahlen und Operationen","Operationen verstehen und ausführen","G","Apply exponent rules","1. Exponent
2. Base
3. Power
4. Product of Powers Rule
5. Quotient of Powers Rule
6. Power of a Power Rule
7. Power of a Product Rule
8. Power of a Quotient Rule
9. Zero Exponent Rule
10. Negative Exponent Rule"
"Zahlen und Operationen","Operationen verstehen und ausführen","G","Simplify expressions with negative exponents","1. Exponent
2. Negative exponent
3. Base
4. Power
5. Reciprocal
6. Simplification
7. Algebraic expression
8. Multiplication
9. Division
10. Fraction"
"Zahlen und Operationen","Operationen verstehen und ausführen","H","Operate with polynomials (factor, expand)","1. Polynomial
2. Coefficient
3. Degree
4. Monomial
5. Binomial
6. Trinomial
7. Factorization
8. Roots/Zeros
9. Multiplication
10. Distribution
11. Like terms
12. Leading coefficient
13. Rational expression
14. Synthetic division
15. Long division (of polynomials)
16. Common factors
17. Zero product property
18. FOIL method
19. Exponent
20. Polynomial identity"
"Zahlen und Operationen","Operationen verstehen und ausführen","H","Handle surds/advanced symbolic forms","1. Surd  
2. Rationalization  
3. Radical  
4. Square root  
5. Cube root  
6. Simplification  
7. Like terms  
8. Conjugate  
9. Denominator  
10. Expression  
11. Equation  
12. Polynomial  
13. Factorization  
14. Irrational number  
15. Exponentiation  
16. Absolute value  
17. Integer  
18. Variable  
19. Numeric coefficient  
20. Binomial"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","B","Identify odd/even to 100","1. Odd numbers  
2. Even numbers  
3. Integers  
4. Range  
5. Sequence  
6. Modulus  
7. Division  
8. Arithmetic  
9. Counting  
10. Algorithm"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","B","Find multiples of 2, 5, 10","- Multiple
- Factor
- Divisibility
- Integer
- Set
- Sequence"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","C","Place fractions (1/2, 1/4) on a line","1. Fractions  
2. Number line  
3. Denominator  
4. Numerator  
5. Greater than  
6. Less than  
7. Equal to  
8. Interval  
9. Equidistant  
10. Rational numbers"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","C","Convert 1/2, 3/4 to decimals","1. Fraction  
2. Decimal  
3. Numerator  
4. Denominator  
5. Division  
6. Place value  
7. Equivalent  
8. Rounding"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","D","Use negative integers (temperature)","1. Negative integers  
2. Temperature  
3. Celsius  
4. Fahrenheit  
5. Absolute zero  
6. Scale  
7. Thermometer  
8. Conversion  
9. Range  
10. Contextual interpretation"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","D","Add/subtract fractions (unlike denominators)","1. Fraction  
2. Numerator  
3. Denominator  
4. Least Common Denominator (LCD)  
5. Equivalent Fractions  
6. Common Denominator  
7. Simplifying  
8. Addition  
9. Subtraction"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","E","Apply percent calculations","1. Percentage
2. Base
3. Rate
4. Increase
5. Decrease
6. Fraction
7. Decimal
8. Proportion
9. Calculation
10. Formula"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","E","Convert fraction/decimal/percent in word problems","1. Fraction
2. Decimal
3. Percent
4. Ratio
5. Proportion
6. Equivalent
7. Simplification
8. Conversion
9. Numerator
10. Denominator
11. Percentage
12. Whole number
13. Mixed number
14. Common denominator
15. Integer"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","F","Add/subtract rational expressions","1. Rational expressions  
2. Common denominator  
3. Numerator  
4. Denominator  
5. Like terms  
6. Simplification  
7. Factorization  
8. Least common multiple (LCM)  
9. Cross-multiplication  
10. Equivalent expressions  
11. Algebraic fractions  
12. Combine fractions"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","F","Convert repeating decimals to fractions","1. Repeating decimal
2. Non-repeating decimal
3. Fraction
4. Numerator
5. Denominator
6. Infinite series
7. Geometric series
8. Limit
9. Conversion
10. Rational number"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","G","Distinguish rational vs. irrational","1. Rational numbers  
2. Irrational numbers  
3. Integers  
4. Fractions  
5. Decimals  
6. Algebraic numbers  
7. Transcendental numbers  
8. Number line  
9. Repeating decimals  
10. Non-repeating decimals"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","G","Approximate √2 or π to given precision","1. Approximation
2. Precision
3. Convergence
4. Iterative Methods
5. Numerical Methods
6. Error Analysis
7. Decimal Representation
8. Rounding
9. Algorithms
10. Series Expansion"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","H","Explore complex numbers overview","1. Complex number  
2. Real part  
3. Imaginary part  
4. Imaginary unit (i)  
5. Cartesian form  
6. Polar form  
7. Argand plane  
8. Modulus  
9. Argument  
10. Euler's formula  
11. Conjugate  
12. Addition  
13. Subtraction  
14. Multiplication  
15. Division  
16. Complex conjugate  
17. Roots of unity  
18. Complex function  
19. Analytic function  
20. Complex integration"
"Zahlen und Operationen","Zahlenbeziehungen und Zahlenräume erweitern","H","Extend to advanced sets (complex plane)","1. Complex Numbers  
2. Real Part  
3. Imaginary Part  
4. Complex Plane  
5. Argand Diagram  
6. Polar Coordinates  
7. Euler's Formula  
8. Complex Functions  
9. Analytic Functions  
10. Cauchy-Riemann Equations  
11. Conformal Mapping  
12. Residue Theorem  
13. Contour Integration  
14. Singularities  
15. Branch Cuts  
16. Holomorphic Functions  
17. Riemann Surfaces  
18. Laurent Series  
19. Taylor Series  
20. Limits in Complex Analysis  
21. Continuity in Complex Functions  
22. Convergence  
23. Path Integral  
24. Mapping Properties"
"Zahlen und Operationen","Rechenstrategien anwenden","B","Mentally add/subtract single-digit to 2-digit","1. Addition
2. Subtraction
3. Single-digit number
4. Two-digit number
5. Mental math
6. Place value
7. Carry over
8. Borrowing
9. Number line
10. Estimate"
"Zahlen und Operationen","Rechenstrategien anwenden","B","Explain adding 9 to a number","1. Addition  
2. Integer  
3. Arithmetic  
4. Equation  
5. Variable  
6. Result  
7. Sum"
"Zahlen und Operationen","Rechenstrategien anwenden","C","Check subtraction by adding","1. Subtraction
2. Addition
3. Inverse operation
4. Equation
5. Check
6. Verify
7. Sum
8. Difference
9. Commutative property
10. Associative property"
"Zahlen und Operationen","Rechenstrategien anwenden","C","Use doubling/halving to simplify multiplication","1. Doubling
2. Halving
3. Multiplication
4. Factors
5. Product
6. Arithmetic Operations
7. Distributive Property
8. Even Numbers
9. Odd Numbers
10. Numerical Relationships"
"Zahlen und Operationen","Rechenstrategien anwenden","D","Estimate 398×52, then verify","1. Estimation
2. Rounding
3. Multiplication
4. Partial products
5. Verification
6. Accuracy
7. Approximation"
"Zahlen und Operationen","Rechenstrategien anwenden","D","Combine mental math & written methods","1. Mental Math  
2. Written Methods  
3. Addition  
4. Subtraction  
5. Multiplication  
6. Division  
7. Estimation  
8. Place Value  
9. Number Line  
10. Algorithms  
11. Carrying/Borrowing  
12. Fractions  
13. Decimals  
14. Mixed Numbers  
15. Factors  
16. Multiples  
17. Rounding  
18. Word Problems  
19. Equation  
20. Solution"
"Zahlen und Operationen","Rechenstrategien anwenden","E","Solve multi-step word problems (percents)","1. Percent
2. Percentage
3. Proportion
4. Ratio
5. Fraction
6. Base
7. Amount
8. Increase
9. Decrease
10. Markup
11. Discount
12. Interest
13. Principal
14. Total
15. Unknown variable
16. Equation
17. Solve
18. Estimate
19. Conversion
20. Scale"
"Zahlen und Operationen","Rechenstrategien anwenden","E","Compare mental vs. written vs. calculator","1. Cognitive Load
2. Working Memory
3. Numerical Estimation
4. Algorithm
5. Mental Calculation
6. Computational Tools
7. Accuracy
8. Efficiency
9. Problem-Solving Strategies
10. Error Rate
11. Cognitive Bias
12. Transfer of Learning
13. Contextual Understanding
14. Algorithmic Thinking
15. Representation Methods"
"Zahlen und Operationen","Rechenstrategien anwenden","F","Use factorization for large calculations","1. Factorization
2. Prime factorization
3. Greatest common divisor (GCD)
4. Least common multiple (LCM)
5. Polynomial factorization
6. Difference of squares
7. Quadratic equations
8. Perfect square trinomial
9. Synthetic division
10. Rational expressions
11. Root
12. Discriminant
13. Binomial theorem
14. Exponents
15. Multiplicity"
"Zahlen und Operationen","Rechenstrategien anwenden","F","Explain error-checking with decimals/fractions","1. Error-checking
2. Decimals
3. Fractions
4. Precision
5. Rounding
6. Significant figures
7. Tolerance
8. Absolute error
9. Relative error
10. Validation
11. Verification
12. Contextual error
13. Estimation
14. Conversion
15. Digit manipulation"
"Zahlen und Operationen","Rechenstrategien anwenden","G","Approximate solutions (Newton’s method)","1. Approximation
2. Iterative method
3. Convergence
4. Function
5. Derivative
6. Initial guess
7. Newton's method
8. Root-finding
9. Tolerance
10. Fixed point
11. Error
12. Linear approximation
13. Update formula
14. Divergence
15. Secant method"
"Zahlen und Operationen","Rechenstrategien anwenden","G","Analyze efficiency of multiple strategies","1. Algorithm Complexity
2. Time Complexity
3. Space Complexity
4. Big O Notation
5. Asymptotic Analysis
6. Empirical Testing
7. Profiling
8. Benchmarking
9. Optimization
10. Trade-off
11. Scalability
12. Resource Utilization
13. Latency
14. Throughput
15. Concurrency
16. Load Balancing
17. Algorithmic Paradigms
18. Heuristic Methods
19. Performance Metrics
20. Computational Overhead"
"Zahlen und Operationen","Rechenstrategien anwenden","H","Generalize symbolic manipulation strategies","1. Symbolic manipulation  
2. Algorithms  
3. Expressions  
4. Variables  
5. Functions  
6. Substitution  
7. Simplification  
8. Normalization  
9. Algebraic structures  
10. Differentiation  
11. Integration  
12. Equation solving  
13. Rewrite systems  
14. Pattern matching  
15. Heuristic methods  
16. Data structures  
17. Abstract syntax tree  
18. Commutativity  
19. Associativity  
20. Distributivity"
"Zahlen und Operationen","Rechenstrategien anwenden","H","Compare mental, symbolic, tech approaches","1. Cognitive processes  
2. Symbolic representation  
3. Technology integration  
4. Mental models  
5. Abstraction  
6. Algorithmic thinking  
7. Simulation  
8. Knowledge representation  
9. Problem-solving strategies  
10. Heuristics  
11. Artificial intelligence  
12. Data visualization  
13. Modeling techniques  
14. Contextual factors  
15. Interactivity"
"Raum und Form","Raumorientierung und Lagebeziehungen","B","Identify left/right in classroom","1. Spatial Awareness
2. Orientation
3. Lateralization
4. Body Mapping
5. Spatial Reference
6. Directionality
7. Gesture Recognition
8. Classroom Layout
9. Visual Perception
10. Contextual Cues"
"Raum und Form","Raumorientierung und Lagebeziehungen","B","Follow directions on a simple grid","1. Grid  
2. Coordinates  
3. Direction  
4. Movement  
5. Origin  
6. Axis  
7. Steps  
8. Path  
9. Quadrant  
10. Navigation  
11. Cartesian plane  
12. Units  
13. Start point  
14. End point  
15. Waypoints"
"Raum und Form","Raumorientierung und Lagebeziehungen","C","Plot integer points on a grid","- Integer points
- Coordinate system
- Grid
- Cartesian plane
- Axes
- Plotting
- Origin
- Quadrants
- Points
- Coordinates"
"Raum und Form","Raumorientierung und Lagebeziehungen","C","Describe point locations as (x,y)","- Coordinate system
- Cartesian coordinates
- Origin
- Abscissa
- Ordinate
- Plane
- Quadrants
- Axis
- Distance formula
- Midpoint
- Vector
- Graphing
- Cartesian plane
- Positioning
- Nearest neighbor"
"Raum und Form","Raumorientierung und Lagebeziehungen","D","Use scale/compass directions on a map","1. Scale  
2. Compass Rose  
3. Cardinal Directions  
4. Intermediate Directions  
5. Bearings  
6. Longitude  
7. Latitude  
8. Map Legend  
9. Distance Measurement  
10. Topographic Features"
"Raum und Form","Raumorientierung und Lagebeziehungen","D","Place negative coordinates in four quadrants","1. Cartesian Coordinate System  
2. Quadrants  
3. X-axis  
4. Y-axis  
5. Origin  
6. Coordinates  
7. Positive Numbers  
8. Negative Numbers  
9. Axes  
10. Plane"
"Raum und Form","Raumorientierung und Lagebeziehungen","E","Translate real-world paths into coordinates","1. Coordinates
2. Cartesian system
3. Geolocation
4. Mapping
5. Vectors
6. Path representation
7. Distance formula
8. Pathfinding algorithms
9. Spatial data
10. Geographic Information System (GIS)
11. Waypoints
12. Latitudinal and longitudinal coordinates
13. Scale
14. Projection
15. GPS (Global Positioning System)
16. Smoothing algorithms
17. Interpolation
18. Data transformation
19. Route optimization
20. Graph theory"
"Raum und Form","Raumorientierung und Lagebeziehungen","E","Identify geometry transformations on a plan","1. Transformation
2. Translation
3. Rotation
4. Reflection
5. Dilation
6. Congruence
7. Similarity
8. Axes of symmetry
9. Coordinate plane
10. Vertex
11. Image
12. Pre-image
13. Vector
14. Matrix
15. Isometry"
"Raum und Form","Raumorientierung und Lagebeziehungen","F","Use vectors for positions/movements","1. Vector
2. Position vector
3. Displacement
4. Magnitude
5. Direction
6. Unit vector
7. Addition of vectors
8. Subtraction of vectors
9. Dot product
10. Cross product
11. Scalar
12. Component form
13. Parametric equations
14. Basis vectors
15. Angle between vectors
16. Projection of a vector
17. Resultant vector
18. Orthogonal vectors
19. Velocity vector
20. Acceleration vector"
"Raum und Form","Raumorientierung und Lagebeziehungen","F","Solve distance/midpoint problems","1. Distance formula  
2. Midpoint formula  
3. Coordinates  
4. Cartesian plane  
5. Euclidean distance  
6. Axiom  
7. Quadratic  
8. Square root  
9. Line segment  
10. Geometry"
"Raum und Form","Raumorientierung und Lagebeziehungen","G","Apply matrices for transformations","1. Matrix
2. Vector
3. Transformation
4. Homogeneous coordinates
5. Affine transformation
6. Linear transformation
7. Determinant
8. Eigenvalues
9. Eigenvectors
10. Composition of transformations
11. Inverse matrix
12. Scaling
13. Rotation
14. Translation
15. Shearing
16. Reflection
17. Basis
18. Orthogonal matrix
19. Transpose
20. Projection"
"Raum und Form","Raumorientierung und Lagebeziehungen","G","Describe 3D coordinates or cross-sections","1. Cartesian Coordinates  
2. 3D Space  
3. Axes (X, Y, Z)  
4. Origin  
5. Vector  
6. Distance Formula  
7. Plane  
8. Cross-Section  
9. Projection  
10. Transformation  
11. Volume  
12. Surface Area  
13. Mesh  
14. Normal Vector  
15. Geometric Shapes  
16. Depth  
17. Resolution  
18. Scalar Field  
19. Coordinate System  
20. Rendering"
"Raum und Form","Raumorientierung und Lagebeziehungen","H","Advanced vector/matrix in spatial tasks","1. Vector
2. Matrix
3. Dot Product
4. Cross Product
5. Norm
6. Transformation
7. Homogeneous Coordinates
8. Eigenvalues
9. Eigenvectors
10. Rotation Matrix
11. Scaling
12. Translation
13. Linear Independence
14. Basis
15. Orthogonal
16. Projection
17. Affine Transformations
18. Singular Value Decomposition (SVD)
19. Determinant
20. Multidimensional Scaling"
"Raum und Form","Raumorientierung und Lagebeziehungen","H","Examine transformations in higher dimensions","1. Vector
2. Matrix
3. Linear Transformation
4. Eigenvalue
5. Eigenvector
6. Affine Transformation
7. Homogeneous Coordinates
8. Dimensionality
9. Basis
10. Orthogonal Transformation
11. Rotation
12. Reflection
13. Scaling
14. Projection
15. Coordinate System
16. Transformation Matrix
17. Determinant
18. Inverse Transformation
19. Norm
20. Tensors"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","B","Identify basic shapes (circle, square)","1. Shape
2. Circle
3. Square
4. Geometry
5. Radius
6. Diameter
7. Area
8. Perimeter
9. Vertex
10. Side
11. Symmetry
12. Two-dimensional (2D)
13. Point
14. Polygon
15. Curvature"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","B","Sort real objects (cube vs. prism)","1. Sorting
2. Classification
3. Geometry
4. Cube
5. Prism
6. Vertices
7. Edges
8. Faces
9. Three-dimensional (3D)
10. Volume
11. Surface area
12. Symmetry
13. Properties
14. Attributes
15. Dimensions"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","C","Classify polygons by sides/angles","1. Polygon
2. Sides
3. Angles
4. Regular Polygon
5. Irregular Polygon
6. Equilateral
7. Equiangular
8. Convex
9. Concave
10. Triangles
11. Quadrilaterals
12. Pentagons
13. Hexagons
14. Heptagons
15. Octagons
16. Diagonal
17. Interior Angles
18. Exterior Angles
19. Sum of Angles
20. Classification"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","C","Compare shapes by parallel sides or right angles","1. Parallel Lines  
2. Right Angles  
3. Shapes  
4. Geometry  
5. Congruence  
6. Angles  
7. Transversal  
8. Bi-sectional  
9. Perpendicular  
10. Polygon  
11. Quadrilateral  
12. Properties  
13. Symmetry  
14. Similarity  
15. Characteristics"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","D","Name 3D solids & identify nets","1. 3D Solids  
2. Nets  
3. Faces  
4. Edges  
5. Vertices  
6. Polyhedra  
7. Prism  
8. Pyramid  
9. Cylinder  
10. Cone  
11. Sphere  
12. Face Types  
13. Planar  
14. Composite Solid  
15. Cross-section"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","D","Explore angle sums in polygons","1. Polygon  
2. Vertex  
3. Interior angles  
4. Exterior angles  
5. Angle sum  
6. Convex polygon  
7. Concave polygon  
8. Diagonal  
9. Formula  
10. Regular polygon  
11. Irregular polygon  
12. N-gon  
13. Sum of interior angles  
14. Sum of exterior angles  
15. Angles of elevation and depression"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","E","Analyze circle properties (radius, diameter)","- Circle
- Radius
- Diameter
- Circumference
- Area
- Center
- Chord
- Arc
- Sector
- Tangent
- Inscribed
- Secant"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","E","Find angle sums in polygons (triangles, quadrilaterals)","- Polygon  
- Vertex  
- Angle  
- Triangle  
- Quadrilateral  
- Interior angles  
- Exterior angles  
- Angle sum property  
- Convex polygon  
- Formula for angle sum  
- Diagonal  
- Regular polygon  
- Irregular polygon"
"Raum und Form","Eigenschaften und Beziehungen von Figuren und Körpern","F","Compare volume/surface area of prisms","1. Prism
2. Volume
3. Surface area
4. Base area
5. Height
6. Lateral surface area
7. Cross-section
8. Rectangular prism
9. Triangular prism
10. Cylindrical prism
11. Formulae
12. Geometric shapes
13. Metric units
14. Calculations
15. 3D geometry"
