"Topic Area","Topic","Progress Level","Exercise","Technical Terms"
"Numbers and operations","Expanding number relationships and number spaces","E","If you have 48 apples and want to divide them equally into baskets determine all the possible numbers of baskets you can use by finding the factors of 48.","- Faktor
- Dividieren
- Gleichmäßig
- Anzahl
- Korb
- Ganzzahl
- Teilbarkeit"
"Numbers and operations","Expanding number relationships and number spaces","E","Find the least common multiple (LCM) of 8 and 12 to determine how often their multiples will coincide.","1. Kleinste gemeinsame Vielfache (kgV)  
2. Vielfache  
3. Primfaktorzerlegung  
4. Teiler  
5. Ganzzahl  
6. Multiplikation  
7. Faktoren  
8. Divisor  
9. Anzahl  
10. Primzahlen"
"Numbers and operations","Expanding number relationships and number spaces","E","Calculate the greatest common divisor (GCD) of 20 and 30 to understand their largest shared factor.","1. größter gemeinsamer Teiler (GGT)
2. Faktor
3. Teilbarkeit
4. Primfaktorzerlegung
5. Euklidischer Algorithmus
6. natürliche Zahlen
7. gemeinsame Faktoren
8. Divisor"
"Numbers and operations","Expanding number relationships and number spaces","E","A gardener wants to plant flowers in rows using 18 red flowers and 24 blue flowers; what is the LCM of 18 and 24 to find the smallest number of total flowers he can use without having leftovers?","- LCM (kleinstes gemeinsames Vielfaches)
- Reduzierung (Reduktion)
- Faktorzerlegung (Prime Factorization)
- Vielfaches (Multiple)
- Teiler (Divisor)
- Ganzzahlen (Integers)
- Blumen (Flowers)
- Reihen (Rows)"
"Numbers and operations","Expanding number relationships and number spaces","F","Calculate the value of 3 raised to the power of 4 and then subtract the square root of 64 from that result.","1. Potenz
2. Exponent
3. Quadratwurzel
4. Subtraktion
5. Ergebnis"
"Numbers and operations","Expanding number relationships and number spaces","F","If the area of a square garden is 81 square feet find the length of one side of the garden.","1. Quadrat
2. Fläche
3. Seite
4. Quadratwurzel
5. Maße
6. Einheiten
7. Geometrie"
"Numbers and operations","Expanding number relationships and number spaces","F","Determine the sum of the values obtained by finding the square root of 49 and raising 2 to the power of 5.","- Quadratwurzel
- Potenz
- Exponent
- Summe
- ganze Zahl"
"Numbers and operations","Expanding number relationships and number spaces","G","A model of a skyscraper is built at a scale of 1:250; if the actual height of the skyscraper is 300 meters what is the height of the model in centimeters?","1. Maßstab  
2. Modell  
3. tatsächliche Höhe  
4. Zentimeter  
5. Skyscraper  
6. Verhältnis  
7. Umrechnung  
8. Proportion  
9. Längenmaß  
10. Architektur"
"Numbers and operations","Expanding number relationships and number spaces","G","A recipe for a large cake requires 3 cups of flour for every 2 cups of sugar; if a baker wants to make 6 cups of flour how many cups of sugar will they need?","1. Rezept  
2. Zutaten  
3. Verhältnis  
4. Mehl  
5. Zucker  
6. Menge  
7. Einheiten  
8. Proportionalität  
9. Umrechnung  
10. Aufwand"
"Numbers and operations","Expanding number relationships and number spaces","G","A map uses a scale where 1 inch represents 30 miles; if two towns are 5 inches apart on the map what is the actual distance between them in miles?","- Maßstab
- Entfernung
- Zoll
- Meile
- Karte
- Verhältnis"
"Numbers and operations","Applying calculation strategies","D","A local bookstore sold 237 books last month and 185 books this month; estimate the total number of books sold by rounding to the nearest ten.","- Runden
- Nahezu
- Zehner
- Schätzung
- Gesamtanzahl
- Buchverkauf"
"Numbers and operations","Applying calculation strategies","D","A farmer has 489 apples and plans to give away 275 apples; estimate how many apples he will have left by rounding to the nearest ten.","1. Äpfel
2. Schätzung
3. Runden
4. Nächste Zehner
5. Subtraktion
6. Verbleibend
7. Ganze Zahlen"
"Numbers and operations","Applying calculation strategies","D","During a school fundraiser students raised $1248 and spent $673; estimate the total amount left by rounding to the nearest ten.","1. Betrag
2. Ausgaben
3. Einnahmen
4. Schätzung
5. Rundung
6. Näherung
7. Differenz
8. Restbetrag
9. Ganze Zahl
10. Zehnerstelle"
"Numbers and operations","Applying calculation strategies","E","Jenna has \(\frac{2}{3}\) of a pizza and her friend gives her \(\frac{1}{4}\) of a pizza; how much pizza does Jenna have now?","- Bruch
- Addition
- Nenner
- Zähler
- Gleichnamige Brüche
- Gesamtbetrag
- Bruchrechnung"
"Numbers and operations","Applying calculation strategies","E","A recipe requires \(\frac{5}{6}\) cup of sugar but Jerry only has \(\frac{1}{3}\) cup; how much more sugar does he need to gather?","- Rezept
- Zutat
- Bruch
- Addition
- Subtraktion
- Maßeinheit
- Cup
- Differenz"
"Numbers and operations","Applying calculation strategies","E","During a fundraiser Emily read \(\frac{3}{8}\) of a book and later she read another \(\frac{1}{2}\) of the book; what fraction of the book has she read in total?","- Bruch
- Prozentsatz
- Addition
- Nenner
- Zähler
- Gemeinsamer Nenner
- Bruchaddition
- Gesamtbetrag"
"Numbers and operations","Applying calculation strategies","F","A store is having a sale where all items are 15% off; estimate the total cost of buying 3 shirts priced at $25 each and 2 pairs of shoes priced at $40 each after applying the discount.","1. Rabatt
2. Preis
3. Artikel
4. Gesamtkosten
5. Prozent
6. Schätzung
7. Gesamtpreis
8. Einzelpreis
9. Anzahl
10. Verkaufspreis"
"Numbers and operations","Applying calculation strategies","F","A recipe for a smoothie calls for 2.5 cups of milk 1.3 cups of yogurt and 0.75 cups of fruit; round each ingredient amount to the nearest whole number and estimate the total volume needed for the recipe.","- Rezept  
- Smoothie  
- Milch  
- Joghurt  
- Obst  
- Kopfrechnen  
- Runden  
- Gesamtes Volumen  
- Näherungswert"
"Numbers and operations","Applying calculation strategies","F","You have $250 saved for tickets to a concert with each ticket costing approximately $67; estimate how many tickets you can buy and how much money you will have left over.","- Betrag
- Ticketpreis
- Ersparnisse
- Schätzung
- Division
- Restbetrag
- Ganzzahlige Division
- Kostenrechnung"
"Numbers and operations","Applying calculation strategies","H","A bakery sells cookies at $2.50 each and offers a 15% discount for orders of a dozen; calculate the total cost after the discount for two dozen cookies.","1. Preis (Price)  
2. Rabatt (Discount)  
3. Dutzend (Dozen)  
4. Stückpreis (Unit Price)  
5. Gesamtkosten (Total Cost)  
6. Angebot (Offer)  
7. Berechnung (Calculation)  
8. Prozentsatz (Percentage)  
9. Umlaufvermögen (Current Assets)  
10. Stückzahl (Quantity)"
"Numbers and operations","Applying calculation strategies","H","A student scored 85% on a math test with 60 questions; if they got 15 questions wrong verify the correctness of their score by calculating the number of correct answers and determining what percentage that represents.","1. Prozent
2. Fragen
3. Richtig
4. Falsch
5. Gesamtanzahl
6. Berechnung
7. Anteil
8. Genauigkeit
9. Ergebnis
10. Verhältnis"
"Numbers and operations","Applying calculation strategies","H","During a sale a pair of shoes originally priced at $80 is marked down by 25% and then an additional 10% off the sale price is applied; find the final price of the shoes after both discounts.","1. ursprünglicher Preis  
2. Rabatt  
3. Prozentsatz  
4. Verkaufspreis  
5. Endpreis  
6. Rabattberechnung  
7. Preisnachlass  
8. prozentualer Rabatt"
"Space and form","Spatial orientation and positional relationships","B","Draw a picture of a cat that is sitting below a tree and a bird that is beside the tree.","1. Katze  
2. Baum  
3. Vogel  
4. Zeichnen  
5. Position  
6. Perspektive  
7. Hintergrund  
8. Komposition  
9. Proportion  
10. Kontur  
11. Farbpalette  
12. Schattierung  
13. Textur  
14. Detail  
15. Skizze"
"Space and form","Spatial orientation and positional relationships","B","Circle the object that is above the table in the picture: a lamp a chair or a book.","1. Objekt
2. Tisch
3. Lampe
4. Stuhl
5. Buch
6. Über
7. Bild/Picture
8. Kreisen (Circling)"
"Space and form","Spatial orientation and positional relationships","B","Write a sentence about where the dog is in relation to the house: Is it in front of behind or beside the house?","- Präposition
- Verhältnis
- Standort
- Referenzobjekt
- räumliche Beziehung
- relative Position
- Orientierung"
"Space and form","Spatial orientation and positional relationships","F","Rotate the triangle with vertices at A(2 3) B(4 5) and C(3 1) by 90 degrees clockwise around the origin and state the new coordinates of the vertices.","1. Drehen
2. Drehsäule
3. Koordinaten
4. Ursprung
5. Winkel
6. Vertices (Ecken)
7. Dreieck
8. Uhrzeigersinn"
"Space and form","Spatial orientation and positional relationships","F","Reflect the rectangle with corners at D(-1 -2) E(-1 2) F(3 2) and G(3 -2) across the y-axis and identify the coordinates of the reflected corners.","- Rechteck
- Ecken
- Reflexion
- y-Achse
- Koordinaten
- Punkt
- Achsenspiegelung
- Quadrant"
"Space and form","Spatial orientation and positional relationships","F","If a square with vertices at H(1 1) I(1 5) J(5 5) and K(5 1) is rotated 180 degrees around the point (3 3) find the coordinates of the new positions of the vertices.","1. Quadrat
2. Scheitelpunkt
3. Rotation
4. Grad
5. Koordinatensystem
6. Symmetrie
7. Transformationsmatrix
8. Mittelpunkt
9. Vektoren
10. Winkel"
"Space and form","Spatial orientation and positional relationships","F","Translate the triangle with vertices at (2 3) (4 5) and (3 7) two units left and three units down and provide the coordinates of the new vertices.","- Dreieck
- Begriffe
- Verschieben
- Vertices (Eckpunkte)
- Koordinaten
- Einheiten
- Links
- Unten
- Veränderung"
"Space and form","Spatial orientation and positional relationships","F","Reflect the rectangle with corners at (1 1) (1 4) (4 1) and (4 4) across the y-axis and list the coordinates of the reflected rectangle.","1. Rechteck  
2. Ecken  
3. Reflexion  
4. y-Achse  
5. Koordinaten  
6. Symmetrie  
7. Achsenspiegelung"
"Space and form","Spatial orientation and positional relationships","F","A quadrilateral is positioned with vertices at (5 2) (5 6) (8 2) and (8 6); apply a translation of three units right and two units up and sketch the resulting figure.","- Viereck
- Scheitelpunkt
- Translation
- Verschiebung
- Koordinatensystem
- x-Achse
- y-Achse
- Punkten
- Zeichnen
- Ergebnisfigur"
"Space and form","Constructions and drawings","B","Draw a large triangle and color it red then draw a square and color it blue.","- Dreieck
- Quadrat
- Farbe
- Zeichnen
- Rot
- Blau
- Fläche
- Größe"
"Space and form","Constructions and drawings","B","Find and color all the circles in this picture green.","1. Bildverarbeitung  
2. Mustererkennung  
3. Segmentierung  
4. Farbraum  
5. Farbmodell  
6. Kantenextraktion  
7. Formanalyse  
8. Filterung  
9. Schwellenwert  
10. Objektverfolgung"
"Space and form","Constructions and drawings","B","Look at the shapes in the box and color all the squares purple.","1. Forme  
2. Quadrat  
3. Färben  
4. Lila  
5. Box  
6. Identifizieren  
7. auswählen  
8. Fläche  
9. Einschränkung  
10. Ausführung"
"Space and form","Constructions and drawings","C","Draw a rectangle and label its four sides and two right angles.","- Rechteck
- Seiten
- Winkel
- Rechte Winkel
- Länge
- Breite"
"Space and form","Constructions and drawings","C","Sketch a triangle with different side lengths and mark its three angles as acute right or obtuse.","1. Dreieck
2. Seitenlängen
3. Winkel
4. Akut
5. Recht
6. Obtus
7. Skizzieren
8. Geometrie
9. Beschreibung
10. Punkte"
"Space and form","Constructions and drawings","C","Create a square and identify its four equal sides and the four right angles by labeling them.","1. Quadrat  
2. Seite  
3. Winkel  
4. Rechter Winkel  
5. Beschriftung  
6. Gleichseitig  
7. Fläche  
8. Ecke"
"Space and form","Constructions and drawings","C","Draw a right angle in the corner of a square and label it as ""Right Angle.""","1. Quadrat  
2. rechte Winkel  
3. Ecke  
4. zeichnen  
5. beschriften  
6. Linie  
7. Grad  
8. Geometrie  
9. Ecke  
10. Maße"
"Space and form","Constructions and drawings","C","In the triangle provided identify one acute angle and shade it then label it as ""Acute Angle.""","- Dreieck
- spitze Winkel
- schattieren
- beschriften"
"Space and form","Constructions and drawings","C","Using a ruler create a shape that includes at least two right angles and one acute angle then label each angle accordingly.","1. Winkel
2. Rechter Winkel
3. Spitzwinkel
4. Lineal
5. Form
6. Beschriftung
7. Geometrie
8. Gerade
9. Seite
10. Ecke"
"Space and form","Constructions and drawings","E","Draw a line segment AB that measures 8 cm and accurately mark its midpoint M.","- Punkt
- Linie
- Streckensegment
- Länge
- Mittelpunkt
- Maßstab
- Genauigkeit
- Zeichnung"
"Space and form","Constructions and drawings","E","Using a straightedge and compass construct the perpendicular bisector of a line segment CD measuring 10 cm and label the intersection points.","1. Gerade
2. Kompass
3. Perpendikularer Bisektor
4. Liniensegment
5. Punkte
6. Schnittpunkte
7. Konstruktion
8. Maß (Maßstab)"
"Space and form","Constructions and drawings","E","Create two points E and F on a piece of paper measure the distance between them and then find and draw the bisector of segment EF labeling the midpoint N.","1. Punkt
2. Abstand
3. Segment
4. Mittelsenkrechte
5. Mittelpunkt
6. Zeichnen
7. Maßnehmen
8. Linie"
"Space and form","Constructions and drawings","E","Plot the following coordinates on a grid: A(2 3) B(5 5) C(4 1) and D(1 2) then connect the points to form a polygon and identify its name.","1. Koordinaten  
2. Gitter  
3. Punkte  
4. Polygone  
5. Verbinden  
6. Identifizieren  
7. Namen  
8. Figuren  
9. Struktur  
10. Geometrie"
"Space and form","Constructions and drawings","E","Using the coordinates E(3 4) F(6 7) G(5 3) and H(2 1) plot the points on a grid and determine if the figure formed is a quadrilateral or a triangle.","1. Koordinaten
2. Punkt
3. Raster
4. Figuren
5. Viereck
6. Dreieck
7. Plotten
8. Geometrie
9. Achsen 
10. Punkte verbinden"
"Space and form","Constructions and drawings","E","Draw a coordinate grid and plot the points J(1 1) K(4 1) L(4 4) and M(1 4); after connecting them describe the shape and calculate its perimeter.","1. Koordinatensystem  
2. Punkte  
3. Achsen  
4. x-Koordinate  
5. y-Koordinate  
6. Verbindungslinien  
7. Form  
8. Umfang  
9. Distanz  
10. Rechteck  
11. Fläche"
"Space and form","Constructions and drawings","G","Find the equations of the lines that form the sides of a triangle with vertices at points A(2 3) B(5 7) and C(4 1).","1. Punkt (Point)  
2. Linie (Line)  
3. Geradengleichung (Line equation)  
4. Koordinatensystem (Coordinate system)  
5. Steigung (Slope)  
6. y-Achse (y-axis)  
7. x-Achse (x-axis)  
8. Schnittpunkt (Intersection point)  
9. Längenform (Slope-intercept form)  
10. Gleichung (Equation)  
11. Vektoren (Vectors)  
12. Dreieck (Triangle)  
13. Ecken (Vertices)  
14. Linearität (Linearity)  
15. allgemeine Form (General form)"
"Space and form","Constructions and drawings","G","Determine the equations of the four sides of a rectangle with vertices located at (-1 -2) (-1 2) (3 2) and (3 -2).","1. Rechteck
2. Eckpunkte
3. Koordinaten
4. Gleichungen
5. Geraden
6. Steigung
7. y-Achsenabschnitt
8. Lineare Gleichungen
9. Achsen
10. Parallele Linien"
"Space and form","Constructions and drawings","G","For the hexagon with vertices at (1 1) (3 2) (4 0) (3 -2) (1 -1) and (0 0) find the equations of the lines that connect each pair of adjacent vertices.","1. Sechseck
2. Scheitelpunkt
3. Nachbarpunkte
4. Gleichung der Geraden
5. Steigung
6. y-Achsenabschnitt
7. Koordinaten
8. Vektoren
9. Winkel
10. Abstand"
"Space and form","Constructions and drawings","H","Construct an equilateral triangle with a side length of 8 cm using a compass and straightedge.","1. Gleichseitiges Dreieck  
2. Seitenlängen  
3. Zirkel  
4. Geodreieck  
5. Konstruktion  
6. Punkte  
7. Linien  
8. Winkel  
9. Schnittpunkte  
10. Konstruktionstechniken"
"Space and form","Constructions and drawings","H","Draw a circle with a radius of 5 cm centered at point A then construct a tangent line to the circle at point B on its circumference using only a straightedge and compass.","1. Kreis
2. Radius
3. Mittelpunkt
4. Tangente
5. Umfang
6. Punkt
7. Gerade
8. Konstruktion
9. Gerade Linie
10. Kompass"
"Space and form","Constructions and drawings","H","Using a protractor create a right triangle where one angle measures 45 degrees and the hypotenuse is 10 cm long; label all sides and angles appropriately.","1. Winkel (angle)
2. Hypotenuse (hypotenuse)
3. Kathete (leg)
4. Rechteck (right triangle)
5. Protractor (Protractor)
6. Grad (degree)
7. Beschriftung (labeling)
8. Geometrie (geometry)
9. Dreieck (triangle)
10. Seitenlängen (side lengths)"
"Space and form","Properties and relationships of figures and solids","D","Classify the following shapes as triangles quadrilaterals or pentagons by counting their sides: a shape with 3 sides a shape with 4 sides and a shape with 5 sides.","- Dreieck
- Viereck
- Fünfeck
- Seiten
- Klassifizierung
- Geometrie"
"Space and form","Properties and relationships of figures and solids","D","Draw and label three different quadrilaterals ensuring each has a distinct number of right angles.","1. Viereck  
2. Rechte Winkel  
3. Eigenschaften  
4. Ecken  
5. Seiten  
6. Parallele  
7. Diagonale  
8. Symmetrie  
9. Kongruenz  
10. Polygon"
"Space and form","Properties and relationships of figures and solids","D","Identify the number of angles in a hexagon and explain whether it is classified as an equiangular or non-equiangular shape based on your counting.","1. Sechseck  
2. Winkel  
3. Ecken  
4. Equiangular  
5. Nicht-equiangular  
6. Innenwinkel  
7. Außenwinkel  
8. Gleichseitig  
9. Regelmäßiges Sechseck  
10. Formklassifikation"
"Space and form","Properties and relationships of figures and solids","D","Find the area of a rectangular garden that measures 8 meters by 5 meters and then add the area of a triangular flower bed with a base of 4 meters and a height of 3 meters.","1. Fläche
2. Rechteck
3. Garten
4. Basis
5. Höhe
6. Dreieck
7. Areaformel
8. Multiplikation
9. Addition"
"Space and form","Properties and relationships of figures and solids","D","Calculate the total area of a patio that consists of a square section measuring 6 feet on each side and a rectangular section measuring 4 feet by 3 feet.","1. Fläche (Area)  
2. Quadrat (Square)  
3. Rechteck (Rectangle)  
4. Seitenlängen (Side lengths)  
5. Berechnung (Calculation)  
6. Gesamtfläche (Total area)  
7. Addition (Addition)  
8. Maßeinheit (Unit of measurement)  
9. Formel (Formula)  
10. Geometrie (Geometry)"
"Space and form","Properties and relationships of figures and solids","D","A playground is shaped like a large rectangle measuring 10 meters by 5 meters with a semicircular slide at one end having a diameter of 4 meters; determine the total area of the playground.","1. Rechteck
2. Fläche
3. Umfang
4. Durchmesser
5. Halbkreis
6. Radius
7. Pi (π)
8. Addition
9. Geometrie"
"Space and form","Properties and relationships of figures and solids","E","Identify the type of quadrilateral that has four right angles and opposite sides that are equal in length.","1. Viereck
2. Rechte Winkel
3. Opposite Seiten
4. Gleich lange Seiten
5. Parallelogramm
6. Rechteck
7. Quadrat"
"Space and form","Properties and relationships of figures and solids","E","Draw a diagram of a quadrilateral and label it as a rectangle square or trapezoid based on its properties.","1. Viereck  
2. Rechteck  
3. Quadrat  
4. Trapez  
5. Seitenlängen  
6. Winkel  
7. Diagonalen  
8. Symmetrieachse  
9. Parallelität  
10. Kongruenz"
"Space and form","Properties and relationships of figures and solids","E","Given a set of four angles measuring 70° 110° 70° and 110° determine if this quadrilateral is a trapezoid and explain why.","1. Viereck
2. Trapez
3. Winkel
4. Parallele Seiten
5. Adjacent Winkel
6. Innenwinkel
7. Eigenschaften des Trapezes
8. Kongruente Winkel
9. Geometrische Figuren
10. Geometrische Bedingungen"
"Space and form","Properties and relationships of figures and solids","F","In a triangle ABC if angle A measures 40 degrees and angle B measures 70 degrees find the measure of angle C.","1. Dreieck
2. Winkel
3. Innenwinkel
4. Summe der Winkel
5. Grad
6. Geometrie"
"Space and form","Properties and relationships of figures and solids","F","A rectangular park has a length of 100 meters and a width of 50 meters; if a triangular flower bed occupies one corner with a base of 30 meters and a height of 20 meters calculate the area of the remaining space in the park.","1. Rechteck (rectangle)  
2. Fläche (area)  
3. Grundfläche (base)  
4. Höhe (height)  
5. Dreieck (triangle)  
6. verbleibender Raum (remaining space)  
7. Park (park)  
8. Eckpunkt (corner)  
9. Formel zur Flächenberechnung (area calculation formula)  
10. Längeneinheit (length unit)"
