"Topic Area","Topic","Progress Level","Exercise","Problem Understanding (Comprehension)","Clarity and Step-by-Step Explanation","Accuracy of Process (Correctness of Steps)","Correctness of Final Answer","Learning Appropriateness","Generalization","Technical Terms Explanation","Addressing Common Errors","Appropriateness Based on Progress Level","Explanation Clarity & Syntax","Justification"
"Numbers and operations","Understanding and performing operations","D","وَكَزَانَتِ المخَبَزَة قد بَاعَت 456 كَعْكةً في الصَّباح و 289 كَعْكةً في المَسَاءِ؛ فَكَمْ كَمْيَّة الكَعَكات الَّتِي بِيعتْ بالإجمال؟","8","9","10","10","9","8","10","7","10","9","The solution demonstrates excellent understanding and clarity, with accurate calculations and a final answer. Minor improvements in engaging explanations for learners could enhance effectiveness."
"Numbers and operations","Understanding and performing operations","D","سارة لديها مجموعة من 864 ملصقًا وفقدت 275 ملصقًا؛ كم عدد الملصقات التي لا تزال لديها؟","7","8","9","10","8","9","8","7","10","9","The solution demonstrates strong comprehension and organization, with correct calculations and accessibility for learners. Some common errors were not addressed well."
"Numbers and operations","Understanding and performing operations","D","مخبز يبيع عبوات من البسكويت مقابل 24 دولارًا لكل عبوة، ويريد زبون شراء 4 عبوات؛ استخدم خاصية التوزيع لإيجاد التكلفة الإجمالية.","8","9","10","10","9","8","10","7","10","9","Justification: The solution is clear, accurate, and well-structured for 6th graders, with minor improvements needed in addressing common errors."
"Numbers and operations","Understanding and performing operations","D","إذا كان هناك صندوق يحتوي على 36 قطعة من الشوكولاتة وتم تقسيمه بالتساوي إلى 4 صناديق أصغر، فكم سيكون عدد قطع الشوكولاتة في كل صندوق باستخدام خاصية التوزيع؟","8","9","10","10","9","8","10","7","10","10","The solution effectively explains the problem, clarity in steps, and is accurate. Minor improvements are needed in addressing common errors and better engaging younger learners."
"Numbers and operations","Understanding and performing operations","D","يحتاج البستاني إلى زراعة 29 زهرة في صفوف مكونة من 3 زهور لكل صف؛ استخدم خاصية التوزيع لحساب العدد الإجمالي للزهور التي يحتاج لزراعتها.","9","9","10","10","9","8","10","8","10","9","The solution effectively interprets the problem, maintains clarity, and engages at a suitable grade level with correct content."
"Numbers and operations","Understanding and representing numbers","G","قم بتحويل الكسر 3/8 إلى عدد عشري ونسبة مئوية.","8","9","10","10","8","9","10","7","9","9","The solution demonstrates solid understanding, clear steps, and accurate calculations, but could better address common errors for ninth graders."
"Numbers and operations","Understanding and representing numbers","G","طالب حصل على 85% في اختبار؛ عبّر عن هذه النتيجة ككسر في أبسط صورة.","8","9","10","10","9","8","9","7","10","9","The solution effectively explains the problem and process, with clear steps and correct calculations; it could improve in addressing common mistakes."
"Numbers and operations","Understanding and representing numbers","G","إذا كانت قميص يكلف 45 دولارًا وفيه خصم قدره 30%، حدد سعر البيع بالشكل العشري.","8","9","10","10","9","8","9","8","10","9","The solution effectively explains each step clearly, incorporates accurate calculations, and is appropriately detailed for a 9th-grade audience. Some simplifications could enhance general understanding."
"Numbers and operations","Understanding and performing operations","F","الغواصة على عمق 150 متر تحت سطح البحر؛ إذا ارتفعت 75 متر، ما هو عمقها الجديد؟","7","8","9","10","8","9","9","8","10","9","The solution demonstrates a good understanding of the problem, clear steps, and accurate calculations, with minor improvements needed in engaging language and addressing common mistakes."
"Numbers and operations","Understanding and performing operations","F","يبدأ متسلق الجبال بالصعود 200 متر ثم ينزل 50 متر؛ ما هو التغير النهائي في ارتفاعه عن مستوى سطح البحر؟","8","9","10","10","9","8","10","6","10","9","The solution effectively interprets the problem with clear steps and accurate calculations, but lacks mention of common errors."
"Numbers and operations","Understanding and performing operations","F","إذا انخفضت درجة الحرارة من -5 درجات مئوية إلى -12 درجة مئوية في الليل، فكم درجة انخفضت؟","8","9","10","10","9","8","10","7","10","9","The explanation is mostly clear and engaging, with correct calculations and reasoning, but could improve on common errors and clarity for younger students."
"Numbers and operations","Ordering numbers","C","ترتيب أعمار الأطفال التالية في حفلة عيد الميلاد من الأصغر إلى الأكبر: 8 5 9 7.","7","8","9","10","8","7","6","5","9","7","The solution correctly interprets the problem and states steps logically but could clarify common errors and certain terms better."
"Numbers and operations","Ordering numbers","C","ترجم الوصف التالي للتمرين من الإنجليزية إلى العربية: رتب الدرجات الحرارية التالية من الأبرد إلى الأكثر دفئًا: 35°F 28°F 42°F 30°F.","8","9","9","10","8","7","9","6","10","9","The solution shows strong comprehension, clarity, and final accuracy but lacks addressing specific common errors for young learners."
"Numbers and operations","Ordering numbers","C","قم بترتيب النقاط من مباراة كرة السلة بالترتيب التصاعدي: 45 32 58 27.","7","8","9","10","9","6","8","5","10","9","The solution demonstrates good comprehension and accuracy but lacks engagement and generalization for broader application."
"Numbers and operations","Ordering numbers","H","رتب درجات الحرارة التالية من الأبرد إلى الأكثر دفئًا: -5°C 0°C -2°C و3°C.","8","9","10","10","9","9","10","8","10","10","The solution demonstrates strong comprehension, clarity, accuracy, and appropriateness, effectively guiding learners through the problem systematically."
"Numbers and operations","Ordering numbers","H","قم بترتيب أرصدة حسابات البنك التالية من الأقل إلى الأعلى: -150.75، 200.50، -45.30، و75.00.","6","7","8","10","8","7","6","7","9","8","The solution generally comprehends the problem, but lacks some clarity and depth for the target audience while providing all necessary steps and correct final answers."
"Numbers and operations","Ordering numbers","H","رتب الارتفاعات التالية من الأدنى إلى الأعلى: -30 متر، -5 متر، 10 متر، 50 متر.","8","9","10","10","9","8","9","6","10","9","The solution shows strong comprehension and clear steps, but it could better address common errors and generalization."
"Numbers and operations","Expanding number relationships and number spaces","D","تتسلسل النباتات في الحديقة كالتالي: 2 5 8 __ __؛ ابحث عن الرقمين التاليين في السلسلة.","8","9","10","10","9","8","10","9","10","10","The solution effectively interprets the problem, clearly outlines steps, and is accurate. It’s engaging and suitable for 6th graders, using clear terminology."
"Numbers and operations","Expanding number relationships and number spaces","D","تمتلك فريق الجري الأوقات التالية لإنهاء لفاتها: 60 ثانية، 64 ثانية، 68 ثانية، __ __؛ ما هما وقتا اللفتين القادمتين؟","7","8","8","10","9","9","8","6","10","9","The solution demonstrates good comprehension and clarity but lacks some explanation of common errors. Overall, well-structured and appropriate for learners."
"Numbers and operations","Expanding number relationships and number spaces","D","يمتدح خباز نمطًا من المكونات: 1 كوب سكر، 2 كوب دقيق، 3 بيضات __ __؛ حدد العنصرين التاليين في هذا النمط.","6","5","7","6","6","5","7","5","10","6","The solution somewhat grasps the problem and demonstrates a logical structure but lacks clarity and full accuracy in reasoning and final answer."
"Numbers and operations","Expanding number relationships and number spaces","E","قُم بتدوين جميع عوامل العدد 36 وحدد أي من هذه العوامل هي أيضًا أعداد أولية.","8","9","9","10","8","8","9","7","10","9","The solution effectively explains the problem and process, is mostly clear, accurate, and well-suited for the 7th grade."
"Numbers and operations","Expanding number relationships and number spaces","E","احسب الأعداد المضاعفة الخمسة الأولى للعدد 7 واشرح النمط الذي تلاحظه في تلك المضاعفات.","8","9","10","10","9","10","8","7","10","9","The solution effectively interprets the problem, presents steps clearly, and correctly calculates the results. Minor improvements could be made in addressing common errors."
"Numbers and operations","Expanding number relationships and number spaces","E","إذا كان لديك 48 تفاحة وترغب في تقسيمها بالتساوي بين السلال، حدد جميع الأعداد الممكنة للسلال التي يمكنك استخدامها من خلال إيجاد عوامل العدد 48.","7","8","10","10","9","9","8","7","10","9","The solution effectively interprets the problem and provides clarity but could enhance engagement and error discussion for grade 7."
"Numbers and operations","Expanding number relationships and number spaces","E","ابحث عن المضاعف المشترك الأصغر (LCM) للعددين 8 و 12 لتحديد مدى تكرار تلاقي مضاعفاتهما.","8","9","10","10","9","8","9","7","10","9","The solution clearly interprets the problem, follows logical steps, and provides a correct answer, suitable for 7th graders."
"Numbers and operations","Expanding number relationships and number spaces","E","احسب القاسم المشترك الأكبر (GCD) للعددين 20 و 30 لفهم أكبر عامل مشترك بينهما.","8","9","10","10","8","9","8","6","10","9","Justification: The explanation is clear and accurate, but could have better addressed common errors. Adjustments for grade level are strong."
"Numbers and operations","Expanding number relationships and number spaces","E","يريد بستاني زرع الزهور في صفوف باستخدام 18 زهرة حمراء و 24 زهرة زرقاء؛ ما هو المضاعف المشترك الأصغر (LCM) للعددين 18 و 24 لإيجاد أقل عدد من الزهور الكلي الذي يمكنه استخدامه دون أن يتبقى أي زهور؟","8","9","10","10","9","8","9","7","10","10","The solution demonstrates strong comprehension and clarity, with accurate calculations and an appropriate understanding level for 7th graders."
"Numbers and operations","Expanding number relationships and number spaces","F","احسب قيمة 3 مرفوعة إلى القوة 4 ثم اطرح الجذر التربيعي لـ 64 من هذه النتيجة.","9","8","10","10","9","8","10","7","10","9","The solution demonstrates strong comprehension and accuracy but lacks some clarity and engagement in addressing common errors for 8th graders."
"Numbers and operations","Expanding number relationships and number spaces","F","إذا كانت مساحة حديقة مربعة 81 قدمًا مربعًا، فحدد طول أحد جوانب الحديقة.","9","8","10","10","9","8","9","7","10","9","The solution demonstrates strong understanding and clarity, with accurate calculations and appropriate terminology, but could better address common errors."
"Numbers and operations","Expanding number relationships and number spaces","F","حدد مجموع القيم الناتجة عن حساب الجذر التربيعي لـ 49 ورفع 2 إلى القوة 5.","7","8","10","10","9","8","9","7","10","9","The solution demonstrates solid comprehension, clear steps, and accuracy. The explanation is mostly appropriate for 8th graders with minor technical improvements needed."
"Numbers and operations","Expanding number relationships and number spaces","G","تم بناء نموذج لناطحة سحاب بمقياس 1:250؛ إذا كانت الارتفاع الحقيقي لناطحة السحاب هو 300 متر، فما هو ارتفاع النموذج بالسنتمترات؟","8","9","9","10","10","9","8","7","10","9","The solution effectively clarifies steps and concepts, demonstrating accuracy and engagement for 9th graders, with minor technical enhancements needed."
"Numbers and operations","Expanding number relationships and number spaces","G","وصفة لكعكة كبيرة تتطلب 3 أكواب من الدقيق مقابل كل 2 كوب من السكر؛ إذا أراد الخباز أن يستخدم 6 أكواب من الدقيق، فكم كوبًا من السكر سيحتاج؟","8","9","10","10","9","8","9","7","10","9","The solution comprehensively explains the problem and provides clear, accurate steps. Minor improvements in addressing common errors would enhance clarity."
"Numbers and operations","Expanding number relationships and number spaces","G","خريطة تستخدم مقياسًا حيث تمثل بوصة واحدة 30 ميلاً؛ إذا كانت بلدتان تبعدان 5 بوصات عن بعضهما على الخريطة، فما هي المسافة الفعلية بينهما بالميل؟","8","9","10","10","9","8","9","7","10","9","The solution effectively interprets the problem, follows clear steps, and accurately explains calculations. It is mostly accessible for learners but could address more common errors."
"Numbers and operations","Applying calculation strategies","D","مكتبة محلية بيعت 237 كتابًا في الشهر الماضي و185 كتابًا في هذا الشهر؛ قدّر العدد الإجمالي للكتب المبيعة عن طريق التقريب لأقرب عشرة.","7","8","9","9","9","8","8","7","10","9","The solution demonstrates good comprehension and structure, with accurate calculations and appropriate language for 6th graders. However, it could improve on addressing potential common errors and explicitly explaining technical terms."
"Numbers and operations","Applying calculation strategies","D","مزارع لديه 489 تفاحة وينوي إعطاء 275 تفاحة؛ قم بتقدير عدد التفاح الذي سيتبقى لديه عن طريق التقريب إلى أقرب عشرة.","7","8","9","10","8","9","7","6","10","9","The solution demonstrates good understanding, logical steps, and accurate calculations, but lacks some engagement and common error addresses for 6th graders."
"Numbers and operations","Applying calculation strategies","D","خلال حملة جمع التبرعات في المدرسة، جمع الطلاب 1248 دولارًا وأنفقوا 673 دولارًا؛ قم بتقدير المبلغ الإجمالي المتبقي عن طريق التقريب إلى أقرب عشرة.","8","9","9","10","9","8","8","7","10","9","The solution demonstrates strong comprehension and clarity. It accurately explains steps and results, suitable for 6th graders."
"Numbers and operations","Applying calculation strategies","E","جينا لديها \(\frac{2}{3}\) من البيتزا وصديقتها تعطيها \(\frac{1}{4}\) من البيتزا؛ كم مقدار البيتزا التي تمتلكها جينا الآن؟","8","9","9","10","9","8","9","7","9","8","The solution demonstrates strong comprehension and clarity without major mistakes, but could better address potential common errors."
"Numbers and operations","Applying calculation strategies","E","وصف التمرين هو: تحتاج الوصفة إلى \(\frac{5}{6}\) كوب من السكر، لكن جيري لديه فقط \(\frac{1}{3}\) كوب؛ كم كوبًا إضافيًا من السكر يحتاج لجمعه؟","8","9","9","10","8","9","9","7","10","9","The solution provides a clear, step-by-step explanation with minor gaps in addressing common errors and terminology details."
