Topic Area,Topic,Progress Level,Exercise
Numbers and Operations,Understanding and performing operations,F,"Perform: 3(2 + 5) – 4(1 – 2)"
Numbers and Operations,Understanding and performing operations,F,"Simplify: (–4)² + 3³ – 5²"
Numbers and Operations,Understanding and performing operations,F,"Simplify: [(4/5) + (1/2)] ÷ (3/10)"
Numbers and Operations,Understanding and performing operations,F,"What is the value of –√36?"
Numbers and Operations,Understanding and performing operations,F,"Multiply: (–0.6) × (–2.5)"
Numbers and Operations,Understanding and performing operations,G,"Simplify 3² × 3⁴ using exponent rules"
Numbers and Operations,Understanding and performing operations,G,"Simplify (2x⁵)³"
Numbers and Operations,Understanding and performing operations,G,"Multiply and simplify: (3x²/2y)(4y²/9x)"
Numbers and Operations,Understanding and performing operations,G,"Rationalize the denominator: 3 / √5"
Numbers and Operations,Understanding and performing operations,H,"Simplify: (2x² − 8)⁄(x² − 4)"
Numbers and Operations,Understanding and performing operations,H,"Simplify: (5√12 + 3√27)⁄√3"
Numbers and Operations,Understanding and performing operations,H,"Expand and simplify (a + b + c)²"
Numbers and Operations,Understanding and performing operations,H,"Evaluate 2⁵ mod 7"
Numbers and Operations,Ordering numbers,B,"Write these numbers in order from smallest to largest: 42, 15, 37"
Numbers and Operations,Ordering numbers,B,"Circle the largest number: 63, 56, 61"
Numbers and Operations,Ordering numbers,B,"Put these in order: 100, 10, 50"
Numbers and Operations,Ordering numbers,B,"Which number does not belong? 41, 43, 46, 45"
Numbers and Operations,Ordering numbers,B,"Circle the numbers that are in the correct order: A) 34, 36, 35 B) 22, 24, 26"
Numbers and Operations,Ordering numbers,C,"Put these numbers in order from least to greatest: 4,209; 3,892; 4,102"
Numbers and Operations,Ordering numbers,C,"Write these in descending order: 5,000; 5,300; 4,900; 5,100"
Numbers and Operations,Ordering numbers,C,"Fill in the blank: 2,345 < ___ < 2,789"
Numbers and Operations,Ordering numbers,D,"Round 345.67 to nearest whole/tenth"
Numbers and Operations,Ordering numbers,D,"Place these numbers on a number line: -1, ½, 0.25, -0.75"
Numbers and Operations,Ordering numbers,D,"Arrange from greatest to least: -5, 7, -2, -8, 0"
Numbers and Operations,Ordering numbers,D,"Fill in the blank: ___ < 0.5 < ¾"
Numbers and Operations,Ordering numbers,D,"Order the fractions: 5/6, 2/3, 3/4"
Numbers and Operations,Ordering numbers,E,"Arrange in descending order: ¾, 0.66, 2/3"
Numbers and Operations,Ordering numbers,E,"Round €13.78, €13.21, and €13.50 to the nearest whole euro, then order them"
Numbers and Operations,Ordering numbers,E,"Sort: 3/4, 0.79, 76%"
Numbers and Operations,Ordering numbers,F,"Compare: 3² ___ 2³"
Numbers and Operations,Ordering numbers,F,"Place on number line: π, 3.14, √10"
Numbers and Operations,Ordering numbers,F,"True or False: √3 > 1.7"
Numbers and Operations,Ordering numbers,F,"Order from greatest to least: √11, 3.3, 10/3"
Numbers and Operations,Ordering numbers,G,"Determine if x < y < z holds for x = 0.66, y = 2/3, z = 67%"
Numbers and Operations,Ordering numbers,G,"Write an inequality statement comparing x = –3, y = 1, z = 4"
Numbers and Operations,Ordering numbers,G,"Order the following from greatest to least: 4², 2⁴, and 16"
Numbers and Operations,Ordering numbers,H,"Arrange 2i, 3 + 2i, 3 − i by magnitude"
Numbers and Operations,Ordering numbers,H,"Order the complex numbers i, −1 + i, 2i based on modulus"
Numbers and Operations,Ordering numbers,H,"Order the following: log₂ 3, log₃ 2, log₅ 5"
Numbers and Operations,Ordering numbers,H,"Place ∛5, ∛6, 2 on a number line"
Numbers and Operations,Ordering numbers,H,"Order the following numbers: 0b1010, 0xF, 13 (binary, hex, decimal)"
Numbers and Operations,Applying Calculation Strategies,B,"Use a number line to Find the result of 9 + 6 = ______"
Numbers and Operations,Applying Calculation Strategies,B,"Solve the following by adding tens and ones: 27 + 35"
Numbers and Operations,Applying Calculation Strategies,B,"Show the sum of the following by making the nearest ten: 46 + 9"
Numbers and Operations,Applying Calculation Strategies,C,"What strategy would you use to solve 400 − 198 quickly?"
Numbers and Operations,Applying Calculation Strategies,C,"What is a good estimate for 612 ÷ 9?"
Numbers and Operations,Applying Calculation Strategies,C,"Use repeated addition to Find the result of 7 × 6 = ___"
Numbers and Operations,Applying Calculation Strategies,C,"Use doubling and halving: 25 × 8 = ___"
Numbers and Operations,Applying Calculation Strategies,C,"What two steps would you use to solve 75 × 12?"
Numbers and Operations,Applying Calculation Strategies,C,"Use rounding to estimate: 51 × 19, then verify"
Numbers and Operations,Applying Calculation Strategies,C,"Break apart to multiply: 23 × 4 = ___"
Numbers and Operations,Applying Calculation Strategies,D,"Estimate the product of 398 × 52 by rounding both numbers, then calculate the exact answer to verify"
Numbers and Operations,Applying Calculation Strategies,D,"Subtract: −15 − (−8)"
Numbers and Operations,Applying Calculation Strategies,D,"Apply the order of operations: 6 + 3 × (8 − 5)²"
Numbers and Operations,Applying Calculation Strategies,D,"Use long division to solve: 3,672 ÷ 16"
Numbers and Operations,Applying Calculation Strategies,E,"A jacket costs €80 and is discounted by 25%, then taxed at 10%. What’s the final price?"
Numbers and Operations,Applying Calculation Strategies,E,"Estimate the total cost of €7.85, €12.49, and €4.30 by rounding to the nearest euro"
Numbers and Operations,Applying Calculation Strategies,E,"A laptop originally costs €850 and goes on sale for 20% off. Then, a €50 coupon is applied. What is the final price?"
Numbers and Operations,Applying Calculation Strategies,E,"Use compensation to quickly solve: 199 + 68"
Numbers and Operations,Applying Calculation Strategies,F,"Use prime factorization to find the GCD of 36 and 60"
Numbers and Operations,Applying Calculation Strategies,F,"Find the LCM of 18 and 24 using prime factors"
Numbers and Operations,Applying Calculation Strategies,F,"Evaluate: (2² × 3³) ÷ (2 × 3²)"
Numbers and Operations,Applying Calculation Strategies,F,"Use powers of 10: What is 3.26 × 1000?"
Numbers and Operations,Applying Calculation Strategies,G,"Use exponent rules to simplify ((3x⁻²)/(x³))²"
Numbers and Operations,Applying Calculation Strategies,G,"Determine whether multiplying by reciprocal or long division is better for 5/6 ÷ 2/3"
Numbers and Operations,Applying Calculation Strategies,G,"Approximate √17 by using nearby perfect squares"
Numbers and Operations,Applying Calculation Strategies,G,"Use the difference of squares to simplify 100² – 99²"
Numbers and Operations,Applying Calculation Strategies,H,"Use a² − b² to compute 102² − 98²"
Numbers and Operations,Applying Calculation Strategies,H,"Apply modular arithmetic to determine the day of the week 100 days from Wednesday"
Numbers and Operations,Applying Calculation Strategies,H,"Use binomial expansion to estimate (1.01)²"
Geometry,spatial orientation and positional relationships,B,"Identify left/right in classroom"
Geometry,spatial orientation and positional relationships,B,"Draw a triangle inside the rectangle"
Geometry,spatial orientation and positional relationships,B,"Color the third shape from the right"
Geometry,spatial orientation and positional relationships,B,"Put an X on the bottom left corder of the paper"
Geometry,spatial orientation and positional relationships,C,"If the robot faces north and turns 90° right, which way is it facing?"
Geometry,spatial orientation and positional relationships,C,"If you rotate the arrow 180°, where does it point?"
Geometry,spatial orientation and positional relationships,D,"Which direction is a 90° clockwise turn from north?"
Geometry,spatial orientation and positional relationships,D,"What quadrant is the point (−3, 4) in?"
Geometry,spatial orientation and positional relationships,D,"If point B is at (2, 3), what are its new coordinates after moving 4 units down?"
Geometry,spatial orientation and positional relationships,D,"A city is 3 cm east of the airport on the map. How far is that in kilometers if the scale is 1 cm = 10 km?"
Geometry,spatial orientation and positional relationships,D,"On a map, the school is located at the center. The library is northeast of the school. Which two directions describe that movement?"
Geometry,spatial orientation and positional relationships,D,"You travel 20 km south, then 15 km east. Which direction have you moved overall?"
Geometry,spatial orientation and positional relationships,E,"Describe the effect of a translation (x, y) → (x + 2, y − 3)"
Geometry,spatial orientation and positional relationships,E,"A delivery robot moves from (0, 0) to (4, 0), then up to (4, 3). What are the coordinates after both moves?"
Geometry,spatial orientation and positional relationships,E,"On a city grid, a taxi starts at (3, 3) and follows this route: left 2 blocks, up 1, right 5, down 4. Where does it end?"
Geometry,spatial orientation and positional relationships,E,"Describe the transformation: (x, y) → (–x, y)"
Geometry,spatial orientation and positional relationships,F,"A point moves from A(2, 3) to B(7, –2). Express this movement as a vector"
Geometry,spatial orientation and positional relationships,F,"Find the midpoint of the segment connecting (4, –1) and (–2, 5)"
Geometry,spatial orientation and positional relationships,F,"If a robot follows the vector ⟨3, –4⟩ from (1, 2), where does it end up?"
Geometry,spatial orientation and positional relationships,F,"A drone flies 4 units north, then 3 units west. What is its displacement vector?"
Geometry,spatial orientation and positional relationships,F,"Rotate the vector ⟨2, 1⟩ by 90° counterclockwise. What is the new vector?"
Geometry,spatial orientation and positional relationships,G,"Identify the coordinates of point B after rotating point A(2, 3) 90° clockwise about the origin"
Geometry,spatial orientation and positional relationships,G,"Explain how to move from point A(0,0,0) to point B(3,2,5) in 3D space"
Geometry,spatial orientation and positional relationships,G,"Determine whether triangle ABC with A(1,1), B(3,4), C(5,7) is right-angled"
Geometry,spatial orientation and positional relationships,G,"A point is 2 units from both A(2,3) and B(6,3). Describe its possible locations"
Geometry,spatial orientation and positional relationships,H,"Represent a cube's diagonal as a vector in 3D given vertices at (0,0,0) and (1,1,1)"
Geometry,spatial orientation and positional relationships,H,"Determine the angle between two 3D vectors: v₁ = (1,2,3) and v₂ = (4,−1,0)"
Geometry,spatial orientation and positional relationships,H,"Find the coordinates of a point after rotating it 90° around the z-axis in 3D space"
Geometry,spatial orientation and positional relationships,H,"Describe the line of intersection between the planes x + y + z = 3 and x − y = 1"
Geometry,spatial orientation and positional relationships,H,"Find the projection of vector v = (3,4,0) onto u = (1,0,0)"
Geometry,spatial orientation and positional relationships,H,"Find a vector perpendicular to both (1,2,3) and (4,5,6)"
Geometry,properties and relationships of figures and solids,B,"How many corners does a triangle have?"
Geometry,properties and relationships of figures and solids,B,"Which shape has no straight sides?"
Geometry,properties and relationships of figures and solids,B,"What’s the difference between a square and a rectangle?"
Geometry,properties and relationships of figures and solids,B,"Draw a shape with 3 corners and 3 sides."
Geometry,properties and relationships of figures and solids,B,"Name two shapes that have only straight sides."
Geometry,properties and relationships of figures and solids,C,"How many sides does a hexagon have?"
Geometry,properties and relationships of figures and solids,C,"How many edges does a cube have?"
Geometry,properties and relationships of figures and solids,C,"True or false: A rectangle is always a parallelogram."
Geometry,properties and relationships of figures and solids,C,"Circle the figure that is not a polygon: triangle, square, circle"
Geometry,properties and relationships of figures and solids,C,"Which figure has opposite sides that are equal and parallel?"
Geometry,properties and relationships of figures and solids,C,"Draw a quadrilateral that is not a square."
Geometry,properties and relationships of figures and solids,D,"Can a triangle have two obtuse angles? Why or why not?"
Geometry,properties and relationships of figures and solids,D,"How many vertices does a triangular pyramid have?"
Geometry,properties and relationships of figures and solids,D,"Find the sum of interior angles in a pentagon."
Geometry,properties and relationships of figures and solids,D,"Calculate the missing angle: A triangle has two angles of 45° and 70°."
Geometry,properties and relationships of figures and solids,E,"A triangle has angles 40° and 65°. What is the third angle?"
Geometry,properties and relationships of figures and solids,E,"A triangle has side lengths 6 cm, 6 cm, and 4 cm. Classify the triangle by its sides."
Geometry,properties and relationships of figures and solids,E,"A quadrilateral has three angles measuring 90°, 85°, and 95°. What is the fourth angle?"
Geometry,properties and relationships of figures and solids,E,"Find the sum of the interior angles in a hexagon."
Geometry,properties and relationships of figures and solids,F,"Explain why a square is both a rectangle and a rhombus"
Geometry,properties and relationships of figures and solids,F,"Determine whether a triangle with sides 5 cm, 7 cm, and 11 cm is acute, right, or obtuse"
Geometry,properties and relationships of figures and solids,F,"Compare the volume of a cube of edge 4 to a cuboid of dimensions 4×4×2"
Geometry,properties and relationships of figures and solids,F,"Compare the surface area of a cube and a sphere of equal volume"
Geometry,properties and relationships of figures and solids,G,"Describe the cross-section formed by slicing a cylinder vertically"
Geometry,properties and relationships of figures and solids,G,"Apply Euler’s formula to a prism with 9 faces"
Geometry,properties and relationships of figures and solids,G,"Identify the type of quadrilateral where diagonals bisect each other at right angles"
Geometry,properties and relationships of figures and solids,G,"A triangle has sides 5 cm, 12 cm, and angle between them is 60°; use Law of Cosines to find area"
Geometry,properties and relationships of figures and solids,H,"Prove that the opposite angles in a cyclic quadrilateral are supplementary"
Geometry,properties and relationships of figures and solids,H,"Given four points in 3D space, determine if they lie on the same plane"
Geometry,properties and relationships of figures and solids,H,"Prove that the centroid of a triangle divides each median in a 2:1 ratio using coordinates"
Geometry,Designs and Drawings,B,"Draw a square and divide it into 4 equal parts"
Geometry,Designs and Drawings,B,"Use a ruler to draw a triangle with 3 straight sides"
Geometry,Designs and Drawings,B,"Use a ruler to draw a straight line 6 cm long"
Geometry,Designs and Drawings,B,"Which of these shapes can you make using only straight lines?"
Geometry,Designs and Drawings,C,"Draw a triangle with one right angle"
Geometry,Designs and Drawings,C,"Use a protractor to draw an angle of 45°."
Geometry,Designs and Drawings,C,"Sketch a cube using dashed lines for hidden edges."
Geometry,Designs and Drawings,C,"Draw a triangle and label its vertices A, B, and C"
Geometry,Designs and Drawings,D,"Draw a triangle with angles measuring 40°, 60°, and 80°, using a protractor"
Geometry,Designs and Drawings,D,"Use a ruler and compass to bisect the given angle"
Geometry,Designs and Drawings,D,"Construct a regular hexagon using only a compass and straightedge"
Geometry,Designs and Drawings,D,"Draw a triangle with sides 4 cm, 4 cm, and 6 cm — what type of triangle is it?"
Geometry,Designs and Drawings,E,"Construct an angle of 90° using only a compass and straightedge"
Geometry,Designs and Drawings,E,"Construct a line parallel to a given line through a point not on the line"
Geometry,Designs and Drawings,E,"Using a grid, draw a triangle and reflect it over the x-axis"
Geometry,Designs and Drawings,E,"Use compass and straightedge to inscribe a circle inside a triangle"
Geometry,Designs and Drawings,E,"Using ruler and compass: construct a parallelogram with side AB = 6 cm, side AD = 4 cm, and angle ∠DAB = 60°."
Geometry,Designs and Drawings,E,"Sketch a circle and mark its center, radius, diameter, and a chord"
Geometry,Designs and Drawings,F,"On a grid, draw a parallelogram given three vertices: A(1,1), B(4,1), C(5,3)"
Geometry,Designs and Drawings,F,"Draw a triangle with sides 5 cm, 7 cm, and 8 cm using only a compass and ruler"
Geometry,Designs and Drawings,F,"Create a scaled drawing of a triangle with sides in the ratio 3:4:5"
Geometry,Designs and Drawings,G,"Draw the circumcircle of the given triangle"
Geometry,Designs and Drawings,G,"Draw a triangle with angles ∠A = 40°, ∠B = 65°, and included side AB = 7 cm"
Geometry,Designs and Drawings,G,"Use geometric loci to construct the region that is equidistant from the points A(2, 3) and B(8, 3)."
Geometry,Designs and Drawings,H,"Use a compass to divide a circle into 6 equal arcs"
Geometry,Designs and Drawings,H,"Draw the angle bisector of ∠ABC and mark its intersection with a side"
Geometry,Designs and Drawings,H,"Construct a triangle with base 8 cm, height 5 cm, and vertex angle 40°"
Geometry,symmetries and mappings,B,"Circle the shapes that are symmetrical."
Geometry,symmetries and mappings,B,"Color the matching halves the same color"
Geometry,symmetries and mappings,B,"Which letters are symmetrical? A, B, C, D, E"
Geometry,symmetries and mappings,B,"Draw the shape you get when the square is flipped over a line."
Geometry,symmetries and mappings,C,"Which shape has more than one line of symmetry: square, rectangle, or triangle?"
Geometry,symmetries and mappings,C,"True or false: A circle has infinite lines of symmetry."
Geometry,symmetries and mappings,C,"If a shape has only one line of symmetry, name one example."
Geometry,symmetries and mappings,C,"Which figure is symmetrical: kite, parallelogram, trapezoid?"
Geometry,symmetries and mappings,D,"Rotate the point (1, 4) 90° clockwise around the origin"
Geometry,symmetries and mappings,D,"Map the point (2, 3) after reflecting it across the x-axis"
Geometry,symmetries and mappings,D,"Translate point A(2, 3) 4 units right and 2 units down"
Geometry,symmetries and mappings,D,"How many lines of symmetry does a regular triangle have?"
Geometry,symmetries and mappings,D,"Does a rectangle have rotational symmetry of 180°?"
Geometry,symmetries and mappings,D,"How many degrees of rotation leave a square looking the same?"
Geometry,symmetries and mappings,E,"Identify all lines of symmetry in a regular hexagon"
Geometry,symmetries and mappings,E,"Which transformation preserves distance and angle: translation, dilation, or skewing?"
Geometry,symmetries and mappings,F,"Rotate the triangle with vertices A(1, 2), B(3, 2), C(2, 4) by 180° about the origin"
Geometry,symmetries and mappings,F,"Draw the image of a triangle after reflecting over the line y = x"
Geometry,symmetries and mappings,F,"Translate point P(–3, 5) by vector ⟨4, –2⟩"
Geometry,symmetries and mappings,F,"Triangle ABC has vertices A(1, 2), B(4, 2), and C(3, 5). Triangle A′B′C′ has vertices A′(–1, 2), B′(–4, 2), and C′(–3, 5). Describe the transformation that maps triangle ABC to triangle A′B′C′."
Geometry,symmetries and mappings,G,"Write the 2×2 matrix that performs a 90° clockwise rotation about the origin"
Geometry,symmetries and mappings,G,"Apply the inverse of the matrix [[2, 0], [0, 2]] to the point (8, –4) and find the resulting coordinates"
Geometry,symmetries and mappings,G,"Square A has vertices at (0,0), (0,2), (2,2), (2,0); square B has vertices at (1,1), (1,3), (3,3), (3,1). Describe the transformation mapping A to B"
Geometry,symmetries and mappings,G,"Shape A has vertex (1, 1) mapped to (–1, –1) under a rotation; find the center of rotation assuming a 180° turn"
Geometry,symmetries and mappings,H,"List all 8 symmetries (4 rotations, 4 reflections) that leave a square with vertices at (±1, ±1) unchanged"
Geometry,symmetries and mappings,H,"Determine the order of the symmetry group of a regular hexagon with side length 5 cm"
Geometry,symmetries and mappings,H,"Apply the matrix [[1, 0], [0, –1]] to triangle DEF with vertices D(2, 1), E(4, 3), F(2, 4), and give the coordinates of the image"
Geometry,measuring and calculating,B,"Measure the line in centimeters: ______ cm"
Geometry,measuring and calculating,B,"How many steps from the door to your seat? ______"
Geometry,measuring and calculating,B,"Circle the unit you would use to measure a book: A) liters B) meters C) centimeters"
Geometry,measuring and calculating,C,"What is the perimeter of a rectangle with sides 6 cm and 4 cm?"
Geometry,measuring and calculating,C,"Find the area of a square with side length 5 cm."
Geometry,measuring and calculating,C,"A shape has an area of 36 cm² and a length of 6 cm. What is its width?"
Geometry,measuring and calculating,C,"Is a 45° angle smaller or larger than a right angle?"
Geometry,measuring and calculating,D,"Find the perimeter of a rectangle with length 8 cm and width 5 cm."
Geometry,measuring and calculating,D,"What is the volume of a cube with side length 4 cm?"
Geometry,measuring and calculating,D,"A square has an area of 36 cm² — what is the length of one side?"
Geometry,measuring and calculating,D,"Measure and draw an angle of 60°"
Geometry,measuring and calculating,D,"Find the circumference of a circle with diameter 10 cm (use π ≈ 3.14)"
Geometry,measuring and calculating,D,"How much water fits in a box that is 10 cm long, 6 cm wide, and 4 cm high?"
Geometry,measuring and calculating,D,"A right triangle has legs of 3 cm and 4 cm — find the hypotenuse."
Geometry,measuring and calculating,E,"A circle has a radius of 7 cm. Find the circumference using π ≈ 3.14"
Geometry,measuring and calculating,E,"A circle has a circumference of 18π cm. What is its radius?"
Geometry,measuring and calculating,E,"A chord of 6 cm lies 2 cm from the center of a circle. Find the radius of the circle"
Geometry,measuring and calculating,E,"Find the area of a rectangle (10 cm × 6 cm) combined with a triangle (base 10 cm, height 4 cm) placed on top."
Geometry,measuring and calculating,E,"Calculate the volume of a cylinder with radius 5 cm and height 8 cm using V = πr²h"
Geometry,measuring and calculating,E,"A shape has two equal semicircles on each end of a rectangle (6 cm × 2 cm). Find the total perimeter."
Geometry,measuring and calculating,E,"Use the Pythagorean Theorem to find the hypotenuse of a right triangle with legs 6 cm and 8 cm"
Geometry,measuring and calculating,F,"A cylinder has height 6 cm and radius 4 cm. Find its surface area using the formula SA = 2πr² + 2πrh."
Geometry,measuring and calculating,F,"Find the volume of a cone with radius 3 cm and height 8 cm"
Geometry,measuring and calculating,F,"A rectangular prism has dimensions 5×4×3. Find its volume and surface area"
Geometry,measuring and calculating,F,"Use trigonometry: In a right triangle, find sin(θ) if opposite = 5 and hypotenuse = 13"
Geometry,measuring and calculating,F,"A triangle has sides 7, 24, and 25 cm. Prove it is a right triangle"
Geometry,measuring and calculating,G,"In triangle ABC, angle A = 40°, angle B = 65°, and side a = 10 cm. Use the law of sines to find side b"
Geometry,measuring and calculating,G,"In triangle XYZ, side x = 6 cm, side y = 7 cm, and angle Z = 60°. Use the law of cosines to find side z"
Geometry,measuring and calculating,G,"Calculate the surface area of a sphere with radius 6 cm"
Geometry,measuring and calculating,G,"A circle has a radius of 10 cm. Find the length of an arc subtended by a 60° angle"
Geometry,measuring and calculating,G,"Find the perimeter of a triangle with vertices at A(0, 0), B(3, 4), and C(6, 0)"
Geometry,measuring and calculating,G,"Two chords intersect in a circle forming an angle of 35°. If the arcs opposite are 80° and 50°, find the angle between the chords"
Geometry,measuring and calculating,H,"Calculate the surface area of a sphere inscribed in a cube with side 6 cm"
Geometry,measuring and calculating,H,"Determine the angle between the planes x + y + z = 0 and x − y = 0"
Geometry,measuring and calculating,H,"If angle A satisfies sin²A + cos²A = 1 and tanA = 3⁄4, find angle A in degrees"
Geometry,measuring and calculating,H,"Determine the distance between skew lines L₁: (1,2,3) + t(1,0,–1) and L₂: (0,1,0) + s(1,1,1)"
Geometry,measuring and calculating,H,"Approximate the shortest distance between Paris (49°N, 2°E) and Cairo (30°N, 31°E) on Earth’s surface"
Geometry,measuring and calculating,H,"A tree casts a 15 m shadow at a 35° angle of elevation; find its height using trigonometry"
Sizes and measurement,Record and compare sizes,B,"Is 1 meter longer or shorter than 50 cm? ______"
Sizes and measurement,Record and compare sizes,B,"Use <, >, or = to compare: 45 cm ___ 54 cm"
Sizes and measurement,Record and compare sizes,B,"Estimate: Is your desk about 1 meter or 10 meters long? ______"
Sizes and measurement,Record and compare sizes,B,"A bottle holds 1 liter of juice. If you drink half, how much is left? ______ liters"
Sizes and measurement,Record and compare sizes,B,"The window is 1.5 meters tall. Is that taller or shorter than you?"
Sizes and measurement,Record and compare sizes,B,"You run 300 meters in the playground and 500 meters in PE class. How far did you run in total? ______ meters"
Sizes and measurement,Record and compare sizes,C,"Compare: 2 liters ___ 1,500 milliliters (use <, >, =)"
Sizes and measurement,Record and compare sizes,C,"A book is 3 cm thick. How thick are 5 books stacked together?"
Sizes and measurement,Record and compare sizes,C,"Which weighs more: 1 kilogram of apples or 1,328 grams of bananas?"
