Topic Area,Topic,Progress Level,Exercise
Raum und Form,Symmetrien und Abbildungen,E,"Transformationen zusammensetzen (erst Spiegelung, dann Rotation)"
Raum und Form,Symmetrien und Abbildungen,F,"Verwenden Sie Transformationen, um die Kongruenz zu beweisen."
Raum und Form,Symmetrien und Abbildungen,F,Untersuche Parkettierungen (Escher-Muster)
Raum und Form,Symmetrien und Abbildungen,G,Darstellungen von Transformationen durch Vektoren/Matrizen
Raum und Form,Symmetrien und Abbildungen,G,Umgekehrte Transformationen auf Geometrieaufgaben anwenden
Raum und Form,Symmetrien und Abbildungen,H,Untersuche Symmetriegruppen (Gruppentheorie)
Raum und Form,Symmetrien und Abbildungen,H,"Reale Symmetrie in der Welt (Kristalle, Physik)"
Raum und Form,Messen und Berechnen,B,"Messen Sie Objekte in cm, vergleichen Sie die Ergebnisse."
Raum und Form,Messen und Berechnen,B,"Schätzen Sie den Umfang eines Schreibtischs, dann messen Sie."
Raum und Form,Messen und Berechnen,C,Berechne den Umfang/Fläche eines Rechtecks.
Raum und Form,Messen und Berechnen,C,Berechnen Sie die Bodenfläche des Klassenzimmers.
Raum und Form,Messen und Berechnen,D,Umfang eines Kreises (gegebener Radius)
Raum und Form,Messen und Berechnen,D,Verwende den Satz des Pythagoras (Seite eines rechtwinkligen Dreiecks).
Raum und Form,Messen und Berechnen,E,Fläche kombinierter Formen (Rechteck + Dreieck)
Raum und Form,Messen und Berechnen,E,Volumen eines Zylinders
Raum und Form,Messen und Berechnen,F,Verwende Trigonometrie in rechtwinkligen Dreiecken.
Raum und Form,Messen und Berechnen,F,"Berechne die Oberfläche (Pyramiden, Kegel)"
Raum und Form,Messen und Berechnen,G,Löse fortgeschrittene Geometrieaufgaben (Kreislehrsätze).
Raum und Form,Messen und Berechnen,G,Wende den Kosinus- bzw. Sinussatz an.
Raum und Form,Messen und Berechnen,H,Beweisen Sie fortgeschrittene geometrische Aussagen.
Raum und Form,Messen und Berechnen,H,Verwenden Sie fortgeschrittene Geometrie/Trigonometrie in realen Kontexten.
Größen und Messen,Größen erfassen und vergleichen,B,Vergleiche die Länge mit Büroklammern.
Größen und Messen,Größen erfassen und vergleichen,B,Behälter nach Kapazität sortieren.
Größen und Messen,Größen erfassen und vergleichen,C,Länge in cm/m messen
Größen und Messen,Größen erfassen und vergleichen,C,Vergleiche Gewichte mit der Waage.
Größen und Messen,Größen erfassen und vergleichen,D,"Schätzen Sie die Länge, dann messen Sie."
Größen und Messen,Größen erfassen und vergleichen,D,Interpretieren der Temperatur in Celsius
Größen und Messen,Größen erfassen und vergleichen,E,Die Messgenauigkeit analysieren.
Größen und Messen,Größen erfassen und vergleichen,E,Vergleiche metrisches versus imperiales System im Kontext.
Größen und Messen,Größen erfassen und vergleichen,F,Verwenden Sie Präzisionswerkzeuge (Messschieber).
Größen und Messen,Größen erfassen und vergleichen,F,Diskutieren Sie Fehlergrenzen in einem Labor.
Größen und Messen,Größen erfassen und vergleichen,G,Entwerfen Sie ein Experiment zur Zuverlässigkeit.
Größen und Messen,Größen erfassen und vergleichen,G,Analysiere signifikante Stellen in Daten.
Größen und Messen,Größen erfassen und vergleichen,H,Fortgeschrittene Messmethoden (wellenbasiert)
Größen und Messen,Größen erfassen und vergleichen,H,Kritik SI vs. alternative Systeme
Größen und Messen,Umgang mit Maßeinheiten,B,Erkennen von cm/m für Länge
Größen und Messen,Umgang mit Maßeinheiten,B,Erkenne € für Geld.
Größen und Messen,Umgang mit Maßeinheiten,C,Umrechnen von cm ↔ m
Größen und Messen,Umgang mit Maßeinheiten,C,Messen Sie Objekte in cm.
Größen und Messen,Umgang mit Maßeinheiten,D,"Konvertiere mm, cm, m, km"
Größen und Messen,Umgang mit Maßeinheiten,D,Löse Textaufgaben zu Länge/Masse
Größen und Messen,Umgang mit Maßeinheiten,E,"Umwandeln von Dezimalzahlen (z. B. 1,25 kg = 1250 g)"
Größen und Messen,Umgang mit Maßeinheiten,E,Umgang mit Zeiteinheiten (Stunden ↔ Minuten)
Größen und Messen,Umgang mit Maßeinheiten,F,Vergleiche metrisch vs. imperial (Meilen↔km)
Größen und Messen,Umgang mit Maßeinheiten,F,"Volumeneinheiten umrechnen (L, mL, cm³)"
Größen und Messen,Umgang mit Maßeinheiten,G,Verwende Dimensionsanalyse
Größen und Messen,Umgang mit Maßeinheiten,G,Diskutieren Sie historische/wissenschaftliche Einheiten (Parsec).
Größen und Messen,Umgang mit Maßeinheiten,H,Untersuche die Planck-Länge/Lichtjahr.
Größen und Messen,Umgang mit Maßeinheiten,H,Kritik SI vs. universelle Messung
Größen und Messen,Berechnungen von Größen,B,Längen in cm addieren
Größen und Messen,Berechnungen von Größen,B,Kombiniere Volumen in Litern
Größen und Messen,Berechnungen von Größen,C,Berechnen Sie den Umfang aus den Seitenlängen.
Größen und Messen,Berechnungen von Größen,C,Hinzuaddieren/subtrahieren von Gewichten in g oder kg
Größen und Messen,Berechnungen von Größen,D,Fläche von Rechtecken/Quadraten
Größen und Messen,Berechnungen von Größen,D,Volumen (in cm³) einer kleinen Schachtel
Größen und Messen,Berechnungen von Größen,E,Streichen Sie die Wandfläche oder berechnen Sie die Bodenfläche.
Größen und Messen,Berechnungen von Größen,E,Verwenden Sie die Formeln für die Fläche von Dreiecken/Kreisen.
Größen und Messen,Berechnungen von Größen,F,Berechnen Sie die Geschwindigkeit = Strecke/Zeit
Größen und Messen,Berechnungen von Größen,F,Konvertieren Sie mph ↔ km/h in realen Kontexten
Größen und Messen,Berechnungen von Größen,G,Oberflächenbereich/Volumen von Kugeln/Kegeln
Größen und Messen,Berechnungen von Größen,G,Löse die Optimierung der Abmessungen.
Größen und Messen,Berechnungen von Größen,H,Verwenden Sie Integrale für unregelmäßige Volumen.
Größen und Messen,Berechnungen von Größen,H,Anwenden fortgeschrittener dimensionale Berechnungen
Größen und Messen,Größen in Sachzusammenhängen,B,Preise in € vergleichen
Größen und Messen,Größen in Sachzusammenhängen,B,Diskutiere 5 Min vs. 15 Min.
Größen und Messen,Größen in Sachzusammenhängen,C,Einen einfachen Haushalt planen
Größen und Messen,Größen in Sachzusammenhängen,C,Reisezeit abschätzen (Stunden/Minuten)
Größen und Messen,Größen in Sachzusammenhängen,D,Berechnen Sie die gesamten Lebensmittelkosten.
Größen und Messen,Größen in Sachzusammenhängen,D,Zeitzonen umrechnen
Größen und Messen,Größen in Sachzusammenhängen,E,Kraftstoffkosten pro km oder Teilnutzung
Größen und Messen,Größen in Sachzusammenhängen,E,Die Zutaten eines Rezepts für verschiedene Portionen anpassen.
Größen und Messen,Größen in Sachzusammenhängen,F,Verwenden Sie Maßstabszeichnungen oder Baupläne.
Größen und Messen,Größen in Sachzusammenhängen,F,Lösen Sie Steuer- oder Zinsaufgaben mit Einheitenumrechnungen.
Größen und Messen,Größen in Sachzusammenhängen,G,Analysiere Wasser-/Stromrechnungen
Größen und Messen,Größen in Sachzusammenhängen,G,Mehrstufige Ressourcen-/Zeitnutzung planen
Größen und Messen,Größen in Sachzusammenhängen,H,Bewerten Sie großflächige Umweltdaten.
Größen und Messen,Größen in Sachzusammenhängen,H,Verwende fortgeschrittene Modellierung/Simulation.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,B,Sammeln Sie Daten über Lieblingsfrüchte (Strichliste)
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,B,Erstellen Sie ein Balkendiagramm der Obstanzahl.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,C,Werte aus einem Liniendiagramm ablesen
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,C,Erstellen Sie eine Tabelle aus einer kurzen Umfrage.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,D,Daten in einem Kreisdiagramm interpretieren
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,D,Ordnen Sie die Daten in einer zweidimensionalen Tabelle.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,E,Erstellen Sie Liniendiagramme für Zeitreihen.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,E,Analysieren Sie irreführende Skalierungen in Grafiken
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,F,Verwenden Sie Tabellenkalkulationen zur Visualisierung.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,F,Diskutieren Sie Stichprobenverfahren/Voreingenommenheit.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,G,Erstellen Sie Boxplots oder Histogramme.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,G,Interpretiere kumulative Häufigkeitsdiagramme
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,H,"Anwenden fortgeschrittener Statistik (Regression, Tests)"
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten erheben darstellen und lesen,H,Bewerten Sie die Zuverlässigkeit großer Datensätze.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,B,Modus in einem kleinen Datensatz ermitteln.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,B,Finde das größte/kleinste in einem Diagramm.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,C,Berechnen Sie den Durchschnitt der Testergebnisse.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,C,Berechnen Sie die Spannweite (max-min).
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,D,Vergleiche zwei Mengen anhand von Mittelwert/Spannweite.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,D,Die Interpretation des Medians in verschiedenen Kontexten
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,E,Erklären Sie den Einfluss von Ausreißern auf den Mittelwert/Median.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,E,Verwende Quartile/Boxplots
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,F,Erstellen und interpretieren Sie Boxplots.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,F,Einführung der Standardabweichung
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,G,Verwenden Sie z-Werte oder Überlappung der Verteilung.
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,G,Analysiere Korrelation versus Kausalität
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,H,Regression oder Hypothesentests
Daten Häufigkeiten und Wahrscheinlichkeiten,Daten vergleichen und auswerten,H,Konfidenzintervalle/Signifikanztests
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,B,Diskutieren Sie sichere vs. unmögliche Ereignisse.
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,B,Ordnen Sie Ereignisse nach Wahrscheinlichkeit.
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,C,Münzwurf-Experiment
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,C,Vergleichen Sie die tatsächliche Häufigkeit mit der erwarteten.
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,D,"Wahrscheinlichkeit, eine 3 zu würfeln = 1/6"
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,D,Drücke die Wahrscheinlichkeit als Bruch/Zahl mit Dezimalstellen/Prozent aus.
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,E,Vergleichen Sie theoretische mit experimentellen Ergebnissen.
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,E,Verwenden Sie relative Häufigkeit in realen Kontexten.
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,F,Wahrscheinlichkeit kombinierter Ereignisse
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,F,Analysiere alltägliche Zufallsaussagen
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,G,Anwenden von Additions-/Multiplikationsregeln
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,G,Verwenden Sie Baumdiagramme/binomiale Verteilungen.
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,H,Stetige Verteilungen/fortgeschrittene Modelle
Daten Häufigkeiten und Wahrscheinlichkeiten,Wahrscheinlichkeiten verstehen,H,Bewerten Sie die Wahrscheinlichkeit in Finanzwesen oder Wissenschaft.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,B,Ordne 3 Objekte der Reihe nach an.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,B,Paare aus 4 Elementen auflisten
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,C,Verwende das grundlegende Zählprinzip.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,C,Zeichne ein Baumdiagramm (2 Münzwürfe)
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,D,Berechnen Sie kleine Permutationen/Kombinationen.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,D,Verwenden Sie kombinatorisches Denken bei der Platzierung.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,E,Verwenden Sie die nCr/nPr-Notation.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,E,Auf das Austeilen von Karten oder reale Szenarien anwenden
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,F,Erforschen Sie die Muster des Pascalschen Dreiecks
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,F,Lösen Sie eingeschränkte kombinatorische Aufgaben.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,G,Prinzip der Inklusion-Exklusion
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,G,Verwenden Sie Kombinatorik in der Graphen-/Netzwerktheorie.
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,H,Fortgeschrittene Methoden (erzeugende Funktionen)
Daten Häufigkeiten und Wahrscheinlichkeiten,Kombinatorik,H,Kombinatorische Designs oder Kodierungstheorie
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,B,"Erkennen Sie das sich wiederholende Muster (2,4,6)."
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,B,Erweitern Sie die Folge um 2 Glieder.
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,C,Beschreibe das Musterregel (plus 3).
