"Topic Area","Topic","Progress Level","Exercise","Problem Understanding (Comprehension)","Clarity and Step-by-Step Explanation","Accuracy of Process (Correctness of Steps)","Correctness of Final Answer","Learning Appropriateness","Generalization","Technical Terms Explanation","Addressing Common Errors","Appropriateness Based on Progress Level","Explanation Clarity & Syntax","Justification"
"Numbers and operations","Understanding and performing operations","D","Sarah hat eine Sammlung von 864 Aufklebern und sie verliert 275 Aufkleber; wie viele Aufkleber hat sie noch?","8","9","10","10","8","9","9","7","10","9","The solution accurately interprets the problem and is clear, appropriate for the grade level, and uses correct language, but could address common errors more directly."
"Numbers and operations","Understanding and performing operations","D","Eine Bäckerei verkauft Päckchen Kekse für jeweils 24 $ und ein Kunde möchte 4 Päckchen kaufen; benutze das Distributivgesetz, um die Gesamtkosten zu ermitteln.","8","9","10","10","9","8","9","7","10","10","The solution demonstrates good comprehension, clarity, and accuracy with suitable learning engagement for 6th graders, but it could improve addressing common errors."
"Numbers and operations","Understanding and performing operations","D","Wenn eine Box 36 Schokoladen enthält und gleichmäßig in 4 kleinere Boxen aufgeteilt wird, wie viele Schokoladen werden in jeder Box sein, indem die distributive Eigenschaft verwendet wird?","8","9","9","10","8","9","8","7","10","9","The solution effectively explains the problem and methods, with minor clarity issues and not addressing all common errors thoroughly."
"Numbers and operations","Understanding and performing operations","D","Ein Gärtner muss 29 Blumen in Reihen von 3 pflanzen; wende das distributive Gesetz an, um die Gesamtanzahl der Blumen zu berechnen, die er pflanzen muss.","8","9","10","10","9","8","9","7","9","9","The solution accurately interprets the problem and provides a clear, step-by-step method. It uses appropriate language for grade 6 and thoroughly explains concepts. Some technical terms could be simplified further for clarity."
"Numbers and operations","Understanding and representing numbers","G","Konvertieren Sie den Bruch 3/8 in eine Dezimalzahl und einen Prozentsatz.","7","8","10","10","8","9","7","6","10","9","The solution demonstrates good comprehension and clarity but lacks more detailed explanations of potential errors and terminology."
"Numbers and operations","Understanding and representing numbers","G","Ein Schüler hat 85 % in einem Test erzielt; drücke diesen Wert als Bruch in der einfachsten Form aus.","9","9","10","10","8","9","9","8","10","10","The solution effectively explains the problem, with clear steps and correct reasoning, but could better address common mistakes."
"Numbers and operations","Understanding and representing numbers","G","Wenn ein Hemd 45 $ kostet und um 30 % reduziert ist, bestimme den Verkaufspreis in Dezimalform.","8","9","10","10","9","8","8","7","10","9","The explanation is mostly clear and detailed but could slightly improve on addressing common mistakes specific to the age group."
"Numbers and operations","Understanding and performing operations","F","Ein U-Boot befindet sich in einer Tiefe von 150 Metern unter dem Meeresspiegel; wenn es um 75 Meter steigt, wie tief ist es dann?","9","8","10","10","9","9","9","8","10","9","The solution effectively interprets the problem and presents clear steps, but could enhance clarity and engagement for learners."
"Numbers and operations","Understanding and performing operations","F","Ein Bergsteiger steigt 200 Meter auf und sinkt dann 50 Meter ab; wie viel beträgt ihre endgültige Höhenänderung gegenüber dem Meeresspiegel?","8","9","10","10","9","8","9","6","10","10","The solution effectively explains the problem and the process. Some minor details on common pitfalls could enhance it."
"Numbers and operations","Understanding and performing operations","F","Wenn die Temperatur über Nacht von -5 Grad Celsius auf -12 Grad Celsius sinkt, um wie viele Grad ist sie gefallen?","8","9","9","10","8","7","8","6","9","9","The solution effectively interprets and calculates the temperature change clearly and accurately, but could better address common errors."
"Numbers and operations","Ordering numbers","C","Ordne die folgenden Altersangaben von Kindern auf einer Geburtstagsfeier vom jüngsten zum ältesten: 8 5 9 7.","7","8","9","10","9","8","7","6","10","9","The solution demonstrates solid understanding and clarity but could improve on addressing common errors and technical terms."
"Numbers and operations","Ordering numbers","C","Ordne die folgenden Temperaturen von der kältesten zur wärmsten: 35°F, 28°F, 42°F, 30°F.","7","8","9","10","8","7","6","5","9","8","The solution generally understands the problem, clearly states steps, and provides a correct answer. However, it lacks depth in addressing common errors and explaining terms fully for 4th graders."
"Numbers and operations","Ordering numbers","C","Ordne die Punkte aus einem Basketballspiel in aufsteigender Reihenfolge: 45, 32, 58, 27.","7","8","9","10","8","6","8","5","9","8","The solution understands the problem well and provides a clear step-by-step method. Steps are mostly accurate, with minor clarity issues. Final answer is correct and suitable for 4th graders, but generalization could be improved."
"Numbers and operations","Ordering numbers","H","Ordne die folgenden Temperaturen von der kältesten zur wärmsten: -5°C, 0°C, -2°C und 3°C.","7","8","9","10","8","7","8","6","10","9","The solution demonstrates a clear understanding and correctness in the steps, but lacks depth in addressing common errors."
"Numbers and operations","Ordering numbers","H","Ordne die folgenden Bankkontostände von dem niedrigsten zum höchsten Wert: -150,75 200,50 -45,30 und 75,00.","8","9","10","10","8","8","9","7","10","9","The solution demonstrates strong problem understanding, accurate steps, and a correct final answer, but could improve on addressing common errors."
"Numbers and operations","Ordering numbers","H","Setze die folgenden Höhen in aufsteigender Reihenfolge von der tiefsten zur höchsten: -30 Meter, -5 Meter, 10 Meter und 50 Meter.","6","7","8","10","9","7","7","8","10","9","The explanation demonstrates good understanding and clarity but lacks deeper engagement with potential learner mistakes."
"Numbers and operations","Expanding number relationships and number spaces","D","Die Reihenfolge der Pflanzen in einem Garten wächst wie 2 5 8 __ __; finde die nächsten beiden Zahlen in der Reihenfolge.","8","9","10","10","9","8","9","7","10","9","The solution exhibits strong comprehension and logical structure. Calculations are accurate, and final answers are correct and justified. Some technical terms could be better explained, but overall, it is suitable for 6th graders. The clarity and syntax are generally high."
"Numbers and operations","Expanding number relationships and number spaces","D","Ein Sprintteam absolviert seine Runden in den folgenden Zeiten: 60 Sekunden, 64 Sekunden, 68 Sekunden __ __; was sind die nächsten beiden Rundenzeiten?","8","8","10","10","9","7","9","6","10","9","The solution demonstrates a good understanding of the problem and accurate calculations but could provide more clarity on common errors and generalizability. The explanation is suitable for the grade level with minor room for improvement."
"Numbers and operations","Expanding number relationships and number spaces","D","Ein Bäcker verwendet ein Muster von Zutaten: 1 Tasse Zucker, 2 Tassen Mehl, 3 Eier __ __; identifiziere die nächsten beiden Elemente in diesem Zutatenmuster.","8","8","9","8","9","7","8","6","9","9","The solution effectively interprets the pattern, explains logically, and is mostly appropriate for 6th graders, but could better address common errors."
"Numbers and operations","Expanding number relationships and number spaces","E","Liste alle Faktoren von 36 auf und identifiziere, welche dieser Faktoren ebenfalls Primzahlen sind.","7","9","10","10","8","9","8","7","9","10","The solution interprets the problem well, with clear steps and accurate calculations. It's mostly suitable for 7th graders, but could enhance engagement."
"Numbers and operations","Expanding number relationships and number spaces","E","Berechne die ersten fünf Vielfachen von 7 und erkläre das Muster, das du in diesen Vielfachen beobachtest.","8","9","10","10","9","8","10","7","10","9","The solution effectively interprets the problem, is clear and logical, and all calculations are accurate. It engages well with 7th graders, addressing patterns and applying key terms correctly but could provide more insight into common errors."
"Numbers and operations","Expanding number relationships and number spaces","E","Wenn Sie 48 Äpfel haben und diese gleichmäßig in Körbe aufteilen möchten, bestimmen Sie alle möglichen Zahlen von Körben, die Sie verwenden können, indem Sie die Faktoren von 48 finden.","9","8","10","10","9","8","9","7","10","10","The solution demonstrates strong comprehension, clarity, accuracy, and appropriateness for the grade level, with only minor omissions in addressing errors."
"Numbers and operations","Expanding number relationships and number spaces","E","Finde das kleinste gemeinsame Vielfache (kgV) von 8 und 12, um zu bestimmen, wie oft ihre Vielfachen übereinstimmen werden.","8","9","10","10","9","8","9","7","10","9","The solution demonstrates strong comprehension and clarity, but some explanations could further simplify difficult concepts for 7th graders."
"Numbers and operations","Expanding number relationships and number spaces","E","Berechne den größten gemeinsamen Teiler (ggT) von 20 und 30, um ihren größten gemeinsamen Faktor zu verstehen.","8","9","10","10","9","8","7","6","10","9","The solution effectively breaks down methods, ensures clarity, and accurately addresses the problem, though some technical terms could be better explained."
"Numbers and operations","Expanding number relationships and number spaces","E","Ein Gärtner möchte Blumen in Reihen pflanzen, und zwar mit 18 roten Blumen und 24 blauen Blumen. Was ist das kleinste gemeinsame Vielfache (kgV) von 18 und 24, um die kleinste Gesamtzahl an Blumen zu finden, die er verwenden kann, ohne dass Reste übrig bleiben?","8","9","10","10","8","9","9","7","10","9","The solution generally understands and explains the problem well, with clear steps and accurate calculations. However, it could improve on engaging explanations and addressing common errors more explicitly for 7th graders."
"Numbers and operations","Expanding number relationships and number spaces","F","Berechne den Wert von 3 hoch 4 und ziehe dann die Quadratwurzel von 64 von diesem Ergebnis ab.","8","9","10","10","8","7","9","5","10","9","The solution effectively interprets the problem and outlines clear steps. Minor improvements are needed in engaging common errors and addressing generalization."
"Numbers and operations","Expanding number relationships and number spaces","F","Wenn die Fläche eines quadratischen Gartens 81 Quadratfuß beträgt, finde die Länge einer Seite des Gartens.","8","9","10","10","9","10","9","7","10","10","The solution effectively interprets and explains the problem, providing clarity and correctness throughout. Some common errors could be highlighted more clearly."
"Numbers and operations","Expanding number relationships and number spaces","F","Bestimme die Summe der Werte, die durch das Ziehen der Quadratwurzel von 49 und das Erheben von 2 in die Potenz von 5 erhalten werden.","8","9","10","10","9","8","9","7","10","9","The solution clearly interprets the problem and provides accurate calculations, with minor improvement needed on common error discussion and generalizing."
"Numbers and operations","Expanding number relationships and number spaces","G","Ein Modell eines Wolkenkratzers wird im Maßstab 1:250 gebaut. Wenn die tatsächliche Höhe des Wolkenkratzers 300 Meter beträgt, wie hoch ist das Modell in Zentimetern?","8","9","9","10","9","8","9","7","10","9","The solution interprets the problem well and outlines clear steps. It includes accurate calculations and is appropriate for 9th graders. However, it misses discussing common errors and provides slightly less generalization."
"Numbers and operations","Expanding number relationships and number spaces","G","Ein Rezept für einen großen Kuchen benötigt 3 Tassen Mehl für jede 2 Tassen Zucker; wenn ein Bäcker 6 Tassen Mehl verwenden möchte, wie viele Tassen Zucker benötigt er dann?","8","9","9","10","9","8","8","7","10","9","The solution clearly outlines steps and provides accurate calculations, making it understandable for students at this level."
"Numbers and operations","Expanding number relationships and number spaces","G","Eine Karte verwendet einen Maßstab, bei dem 1 Zoll 30 Meilen entspricht; wenn zwei Städte auf der Karte 5 Zoll voneinander entfernt sind, wie groß ist die tatsächliche Entfernung zwischen ihnen in Meilen?","8","9","10","10","9","8","9","8","10","10","The explanation effectively covers the problem and methodology clearly, with minor room for improvement in anticipating student errors and engagement."
"Numbers and operations","Applying calculation strategies","D","Eine lokale Buchhandlung hat letzten Monat 237 Bücher und diesen Monat 185 Bücher verkauft; schätze die Gesamtzahl der verkauften Bücher, indem du auf die nächstgelegene Zehnerstelle rundest.","8","8","9","10","8","9","9","7","9","10","The solution effectively addresses the problem and outlines steps clearly, with only minor omissions in common error anticipation. Overall, it is well-structured and suitable for sixth graders."
"Numbers and operations","Applying calculation strategies","D","Ein Bauer hat 489 Äpfel und plant, 275 Äpfel zu verschenken; schätze, wie viele Äpfel er übrig haben wird, indem du auf die nächstliegende Zehnerstelle rundest.","8","9","9","9","8","10","9","7","10","9","The solution comprehensively interprets the problem and provides a clear, well-structured explanation suited for 6th graders. Calculations are mostly accurate, and the approach is generalizable for future problems. However, there could be more emphasis on common errors."
"Numbers and operations","Applying calculation strategies","D","Während einer Schulspendenaktion sammelten die Schüler 1248 $ und gaben 673 $ aus; schätzen Sie den insgesamt verbleibenden Betrag, indem Sie auf die nächste Zehnerstelle runden.","7","8","9","8","7","8","6","5","9","7","The solution demonstrates good comprehension and clarity but lacks some detail on rounding rules. Minor misinterpretations of rounding concepts affect consistency."
"Numbers and operations","Applying calculation strategies","E","Jenna hat \(\frac{2}{3}\) einer Pizza und ihre Freundin gibt ihr \(\frac{1}{4}\) einer Pizza; wie viel Pizza hat Jenna jetzt?","9","9","10","10","9","8","9","8","10","9","The solution demonstrates strong comprehension and clarity, accurate calculations, and appropriate explanations for the grade level, with minor areas for generalization improvement."
"Numbers and operations","Applying calculation strategies","E","Ein Rezept benötigt \(\frac{5}{6}\) Tasse Zucker, aber Jerry hat nur \(\frac{1}{3}\) Tasse; wie viel mehr Zucker muss er sammeln?","9","9","10","10","9","9","10","8","10","10","The solution effectively interprets the problem, clearly outlines steps, and arrives at the correct answer, but could expand on common errors."
